T1_index,T2_index,cosine_similarity,cosine_distance
0,93035,0.1862962,0.8137038
1,49044,0.1574248,0.8425752
2,7918,0.21001464,0.78998536
3,38998,0.1076411,0.8923589
4,13760,0.0767346,0.9232654
5,15100,0.0,1.0
6,44202,0.07082665,0.92917335
7,15606,0.0,1.0
8,14986,0.1962372,0.8037628
9,17596,0.0523887,0.9476113
10,11851,0.0516798,0.9483202
11,7958,0.1918482,0.8081518
12,50845,0.1636714,0.8363286
13,23153,0.06018543,0.93981457
14,53654,0.0522125,0.9477875
15,84896,0.2318495,0.7681505
16,34159,0.1212324,0.8787676
17,100995,0.1249986,0.8750014
18,57575,0.06438476,0.93561524
19,23256,0.1134158,0.8865842
20,11015,0.0403929,0.9596071
21,8293,0.1483495,0.8516505
22,82796,0.078461,0.921539
23,21921,0.05527955,0.94472045
24,19312,0.1169605,0.8830395
25,11842,0.06696075,0.93303925
26,98325,0.0360728,0.9639272
27,7088,0.07374,0.92626
28,7440,0.1156745,0.8843255
29,18808,0.08859324,0.91140676
30,62617,0.10595334,0.89404666
31,52416,0.11446905,0.88553095
32,7918,0.27542317,0.72457683
33,52555,0.1310907,0.8689093
34,7359,0.18197894,0.81802106
35,15721,0.01385975,0.98614025
36,13179,0.0430367,0.9569633
37,101941,0.09224576,0.90775424
38,111684,0.15643907,0.84356093
39,30724,0.1470529,0.8529471
40,13996,0.2832718,0.7167282
41,19822,0.0249424,0.9750576
42,76672,0.1221617,0.8778383
43,84361,0.09441525,0.90558475
44,18092,0.2675276,0.7324724
45,94694,0.0939678,0.9060322
46,113329,0.1413357,0.8586643
47,14615,0.11918455,0.88081545
48,27235,0.11918926,0.88081074
49,11851,0.04361546,0.95638454
50,98691,0.10299724,0.89700276
51,7238,0.12709904,0.87290096
52,1328,0.1081642,0.8918358
53,98324,0.19520867,0.80479133
54,98428,0.02479726,0.97520274
55,22581,0.1336435,0.8663565
56,80632,0.1061329,0.8938671
57,58904,0.19244146,0.80755854
58,7847,0.1155637,0.8844363
59,82373,0.12988406,0.87011594
60,29587,0.0378519,0.9621481
61,24915,0.0,1.0
62,23693,0.1051019,0.8948981
63,11358,0.17111087,0.82888913
64,30687,0.0,1.0
65,81776,0.0296258,0.9703742
66,489,0.18545455,0.81454545
67,105953,0.10010266,0.89989734
68,1672,0.1900637,0.8099363
69,98324,0.18339014,0.81660986
70,45898,0.0635873,0.9364127
71,78424,0.090875,0.909125
72,111694,0.1274996,0.8725004
73,23446,0.0891745,0.9108255
74,7238,0.08529866,0.91470134
75,1886,0.19963557,0.80036443
76,24420,0.3015584,0.6984416
77,82480,0.1270336,0.8729664
78,10114,0.03207576,0.96792424
79,7881,0.1226786,0.8773214
80,8622,0.0,1.0
81,23153,0.0947245,0.9052755
82,17160,0.0,1.0
83,36305,0.0732532,0.9267468
84,106839,0.0644745,0.9355255
85,76655,0.0284217,0.9715783
86,38221,0.0268656,0.9731344
87,82480,0.11893904,0.88106096
88,105212,0.08229893,0.91770107
89,18936,0.0706166,0.9293834
90,75255,0.23638916,0.76361084
91,110132,0.2289783,0.7710217
92,8464,0.23775315,0.76224685
93,1672,0.24048626,0.75951374
94,53454,0.147865,0.852135
95,61446,0.13016915,0.86983085
96,111129,0.01807725,0.98192275
97,50808,0.06726253,0.93273747
98,101411,0.0,1.0
99,2600,0.0720276,0.9279724
100,59650,0.0214021,0.9785979
101,4696,0.1597548,0.8402452
102,59600,0.0,1.0
103,84306,0.1289883,0.8710117
104,8950,0.0993069,0.9006931
105,7362,0.12368006,0.87631994
106,110928,0.05293536,0.94706464
107,109074,0.0186869,0.9813131
108,101367,0.0639713,0.9360287
109,50783,0.1866909,0.8133091
110,13224,0.1741614,0.8258386
111,47302,0.1461669,0.8538331
112,59696,0.0378488,0.9621512
113,62957,0.0696421,0.9303579
114,72052,0.31571543,0.68428457
115,44899,0.1616886,0.8383114
116,47264,0.04616284,0.95383716
117,18687,0.0596884,0.9403116
118,42289,0.0906357,0.9093643
119,36636,0.2198328,0.7801672
120,64476,0.1063415,0.8936585
121,10998,0.37847203,0.62152797
122,113279,0.0298558,0.9701442
123,17229,0.0950416,0.9049584
124,60785,0.1627525,0.8372475
125,24723,0.2433189,0.7566811
126,24150,0.0524065,0.9475935
127,18572,0.14121366,0.85878634
128,20553,0.05980444,0.94019556
129,1672,0.19536895,0.80463105
130,8686,0.0703705,0.9296295
131,49359,0.0646993,0.9353007
132,107482,0.19359356,0.80640644
133,76322,0.1874354,0.8125646
134,7245,0.0828289,0.9171711
135,104446,0.0286544,0.9713456
136,23627,0.0,1.0
137,79415,0.11705995,0.88294005
138,113151,0.1128348,0.8871652
139,23936,0.0833759,0.9166241
140,98324,0.16461444,0.83538556
141,7698,0.37091243,0.62908757
142,52268,0.0772459,0.9227541
143,42055,0.0,1.0
144,1521,0.2639193,0.7360807
145,46021,0.05185777,0.94814223
146,63789,0.20899254,0.79100746
147,48750,0.03402174,0.96597826
148,52925,0.0,1.0
149,1672,0.19638604,0.80361396
150,22747,0.05373955,0.94626045
151,83834,0.0410724,0.9589276
152,111376,0.0874858,0.9125142
153,82480,0.11849123,0.88150877
154,83865,0.06507516,0.93492484
155,5335,0.2046305,0.7953695
156,79279,0.1578507,0.8421493
157,7238,0.10434103,0.89565897
158,59884,0.0563874,0.9436126
159,58504,0.06560385,0.93439615
160,1896,0.11093843,0.88906157
161,111197,0.1518145,0.8481855
162,86414,0.13336,0.86664
163,59607,0.1592108,0.8407892
164,10400,0.1860889,0.8139111
165,67923,0.19566447,0.80433553
166,8685,0.0,1.0
167,98197,0.0339807,0.9660193
168,65940,0.0,1.0
169,111783,0.04876333,0.95123667
170,75671,0.0,1.0
171,111419,0.07239157,0.92760843
172,52522,0.08316654,0.91683346
173,83294,0.2351817,0.7648183
174,82480,0.158502,0.841498
175,60744,0.0430269,0.9569731
176,61680,0.18459976,0.81540024
177,60446,0.3001432,0.6998568
178,25807,0.16555727,0.83444273
179,82343,0.098177,0.901823
180,59630,0.10214067,0.89785933
181,4098,0.3294977,0.6705023
182,1900,0.06223345,0.93776655
183,105028,0.01972884,0.98027116
184,50087,0.21235025,0.78764975
185,52863,0.16665334,0.83334666
186,20557,0.0459723,0.9540277
187,6050,0.1417426,0.8582574
188,23553,0.16262054,0.83737946
189,52027,0.2224434,0.7775566
190,107482,0.191539,0.808461
191,27543,0.0,1.0
192,10010,0.0682308,0.9317692
193,7765,0.06501526,0.93498474
194,98798,0.0690209,0.9309791
195,11725,0.07451284,0.92548716
196,8956,0.09219265,0.90780735
197,101191,0.27251047,0.72748953
198,44278,0.1022907,0.8977093
199,32363,0.1176879,0.8823121
200,105212,0.08229905,0.91770095
201,52431,0.1311713,0.8688287
202,98925,0.15044546,0.84955454
203,1672,0.14257944,0.85742056
204,14693,0.14627814,0.85372186
205,99257,0.159872,0.840128
206,42791,0.08153003,0.91846997
207,14961,0.1237362,0.8762638
208,32867,0.11422837,0.88577163
209,84991,0.03119445,0.96880555
210,62091,0.1580782,0.8419218
211,41598,0.0,1.0
212,14986,0.1484382,0.8515618
213,44971,0.0500408,0.9499592
