Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
Hong Kong,Shandong Hi-Speed Holdings Group Limited,Financials,,,,,,,412.0,Current,CHAN Wai Hei William,Independent Non Executive Director - A/F,,2020-05-14,
London,HG CAPITAL TRUST PLC,Financials,1989-12-13 0:00,United Kingdom,Europe,MAIN MARKET,No,1214.21,,,,,,,
London,HENDERSON EUROPEAN FOCUS TRUST PLC,Financials,1971-12-8 0:00,United Kingdom,Europe,MAIN MARKET,No,258.73,,,,,,,
London,BANK OF IRELAND GROUP PLC,Financials,2017-7-10 0:00,Ireland,Europe,MAIN MARKET,Yes,2060.43,,,,,,,
London,INTEGRAFIN HOLDINGS PLC,Financials,2018-2-27 0:00,United Kingdom,Europe,MAIN MARKET,No,1611.88,,,,,,,
London,SIGMA CAPITAL GROUP PLC,Financials,2000-4-27 0:00,United Kingdom,Europe,AIM,No,105.22,,,,,,,
London,OLD MUTUAL LIMITED,Financials,2018-6-26 0:00,South Africa,Africa,MAIN MARKET,Yes,2090.6,,,,,,,
London,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",Financials,2018-11-14 0:00,Slovenia,Europe,MAIN MARKET,Yes,,,,,,,,
Hong Kong,ESR GROUP LIMITED,Financials,,,,,,,1821.0,Delisted,GIBSON Stuart,Executive Director,CEO,2016-01-20,2025-07-03
London,ATLAS MARA LIMITED,Financials,2013-12-20 0:00,British Virgin Islands,North America,MAIN MARKET,Yes,36.76,,,,,,,
London,INDEPENDENT INVESTMENT TRUST PLC,Financials,2000-10-18 0:00,United Kingdom,Europe,MAIN MARKET,No,245.33,,,,,,,
London,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,Financials,2015-3-3 0:00,Guernsey,Europe,MAIN MARKET,No,1732.55,,,,,,,
Hong Kong,"Bank of Gansu Co., Ltd.",Financials,,,,,,,2139.0,Current,HAU Pak Sun,Independent Non Executive Director,,2023-10-16,
Hong Kong,BOC Hong Kong (Holdings) Limited,Financials,,,,,,,2388.0,Current,CAI Zhao,Non Executive Director,,2025-08-04,
London,GULF INVESTMENT FUND PLC,Financials,2007-7-31 0:00,United Kingdom,Europe,MAIN MARKET,No,91.53,,,,,,,
London,JUST GROUP PLC,Financials,2013-11-12 0:00,United Kingdom,Europe,MAIN MARKET,No,435.78,,,,,,,
London,HSBC HOLDINGS PLC,Financials,1991-4-8 0:00,United Kingdom,Europe,MAIN MARKET,No,66102.97,,,,,,,
