T1_index,T2_index,cosine_similarity,cosine_distance
0,935,0.96803939,0.03196061
1,171,0.9534142,0.0465858
2,85,0.92285597,0.07714403
3,293,0.98627043,0.01372957
4,85,0.9344157,0.0655843
5,614,0.963166,0.036834
6,211,0.93631506,0.06368494
7,471,0.9558537,0.0441463
8,817,0.96073586,0.03926414
9,78,0.94930893,0.05069107
10,78,0.95355517,0.04644483
11,10,0.94299388,0.05700612
12,817,0.96502608,0.03497392
13,85,0.92725939,0.07274061
14,270,0.93936843,0.06063157
15,492,0.95210165,0.04789835
16,26,0.95751166,0.04248834
17,612,0.9836368,0.0163632
18,41,0.78461105,0.21538895
19,862,0.97452104,0.02547896
20,875,0.98354048,0.01645952
21,85,0.92528796,0.07471204
22,614,0.96481413,0.03518587
23,85,0.95112526,0.04887474
24,23,1.0,0.0
25,24,1.0,0.0
26,270,0.90850669,0.09149331
27,875,0.98220605,0.01779395
28,78,0.96190047,0.03809953
29,871,0.87764609,0.12235391
30,29,0.91704369,0.08295631
31,30,0.97247434,0.02752566
32,270,0.94104755,0.05895245
33,875,0.99099779,0.00900221
34,85,0.9461627,0.0538373
35,85,0.92787057,0.07212943
36,35,0.80819595,0.19180405
37,871,0.9786225,0.0213775
38,210,0.97568428,0.02431572
39,85,0.90302146,0.09697854
40,612,0.95041859,0.04958141
41,17,0.93727684,0.06272316
42,54,0.92407411,0.07592589
43,143,0.94939512,0.05060488
44,16,0.93220735,0.06779265
45,293,0.97974783,0.02025217
46,831,0.95386177,0.04613823
47,46,1.0,0.0
48,78,0.96221018,0.03778982
49,26,0.9710933,0.0289067
50,270,0.96485525,0.03514475
51,17,1.0,0.0
52,518,0.94479269,0.05520731
53,51,1.0,0.0
54,52,0.96394318,0.03605682
55,559,0.94675791,0.05324209
56,36,0.93668491,0.06331509
57,26,0.97410309,0.02589691
58,56,0.94393259,0.05606741
59,57,1.0,0.0
60,85,0.95618606,0.04381394
61,59,1.0,0.0
62,875,0.96226412,0.03773588
63,61,1.0,0.0
64,62,0.9486447,0.0513553
65,56,0.87450379,0.12549621
66,171,0.93478554,0.06521446
67,58,0.95498544,0.04501456
68,85,0.9480257,0.0519743
69,612,0.97531062,0.02468938
70,26,0.9222095,0.0777905
71,26,0.97935361,0.02064639
72,34,0.94429821,0.05570179
73,9,0.86771297,0.13228703
74,26,0.9710933,0.0289067
75,78,0.94293857,0.05706143
76,293,0.98776138,0.01223862
77,78,0.95032889,0.04967111
78,78,0.91906482,0.08093518
79,85,0.9591077,0.0408923
80,26,0.97931284,0.02068716
81,78,1.0,0.0
82,26,0.98469096,0.01530904
83,78,0.96195525,0.03804475
84,614,0.96032804,0.03967196
85,82,1.0,0.0
86,85,0.97957218,0.02042782
87,920,0.97564733,0.02435267
88,920,0.97300547,0.02699453
89,559,0.94791549,0.05208451
90,612,0.95044935,0.04955065
91,744,0.96968347,0.03031653
92,58,0.9229275,0.0770725
93,171,0.92844492,0.07155508
94,875,0.94226408,0.05773592
95,26,0.9564085,0.0435915
96,85,0.92181325,0.07818675
97,614,0.96023303,0.03976697
98,612,0.9769159,0.0230841
99,26,0.97176164,0.02823836
100,26,0.97248298,0.02751702
101,26,0.98079395,0.01920605
102,875,0.97003698,0.02996302
103,875,0.97986281,0.02013719
104,143,0.93709397,0.06290603
105,875,0.96087921,0.03912079
106,133,0.9386161,0.0613839
107,37,0.95386976,0.04613024
108,171,0.94345284,0.05654716
109,875,0.98860472,0.01139528
110,270,0.94875658,0.05124342
111,214,0.97057104,0.02942896
112,26,0.96311742,0.03688258
113,85,0.96389532,0.03610468
114,85,0.94790506,0.05209494
115,875,0.97330755,0.02669245
116,171,0.96704286,0.03295714
117,78,0.91268492,0.08731508
118,143,0.97691446,0.02308554
119,310,0.93460697,0.06539303
120,860,0.96807295,0.03192705
121,875,0.98586494,0.01413506
122,148,0.96759087,0.03240913
123,26,0.92008257,0.07991743
124,117,0.9704442,0.0295558
125,26,0.94413692,0.05586308
126,935,0.95824218,0.04175782
127,26,0.97578096,0.02421904
128,559,0.94183123,0.05816877
129,171,0.9813745,0.0186255
130,539,0.98042065,0.01957935
131,331,0.95647198,0.04352802
132,26,0.97770745,0.02229255
133,214,0.97057104,0.02942896
134,85,0.92851472,0.07148528
135,26,0.94279659,0.05720341
136,875,0.9454279,0.0545721
137,799,0.94869536,0.05130464
138,133,0.94137627,0.05862373
139,559,0.96181077,0.03818923
140,214,0.97057104,0.02942896
141,571,0.9647752,0.0352248
142,78,0.95381093,0.04618907
143,910,0.94599527,0.05400473
144,172,0.94656616,0.05343384
145,133,0.94427025,0.05572975
146,16,0.91120756,0.08879244
147,831,0.94343048,0.05656952
148,143,0.97401386,0.02598614
149,776,0.96071166,0.03928834
150,171,0.95485508,0.04514492
151,142,0.9882127,0.0117873
152,143,0.99097496,0.00902504
153,392,0.97003317,0.02996683
154,862,0.97354442,0.02645558
155,26,0.94531983,0.05468017
156,518,0.93457311,0.06542689
157,875,0.98161066,0.01838934
158,191,0.9208132,0.0791868
159,875,0.98154146,0.01845854
160,171,0.97926933,0.02073067
161,85,0.9193207,0.0806793
162,539,0.98042071,0.01957929
163,875,0.97704053,0.02295947
164,133,0.96178305,0.03821695
165,171,0.96372372,0.03627628
166,311,0.94188428,0.05811572
167,614,0.98197663,0.01802337
168,78,0.95294952,0.04705048
169,612,0.9265753,0.0734247
170,85,0.94455379,0.05544621
171,161,1.0,0.0
172,162,1.0,0.0
173,26,0.98731667,0.01268333
174,164,0.97986424,0.02013576
175,165,1.0,0.0
176,539,0.98042071,0.01957929
177,26,0.95579433,0.04420567
178,167,0.98768169,0.01231831
179,539,0.98042071,0.01957929
180,920,0.9779678,0.0220322
181,685,0.90920866,0.09079134
182,471,0.95980889,0.04019111
183,33,0.96705866,0.03294134
184,26,0.96199471,0.03800529
185,303,0.98479933,0.01520067
186,612,0.94165331,0.05834669
187,16,0.95017165,0.04982835
188,26,0.96227902,0.03772098
189,539,0.98042071,0.01957929
190,744,0.9529478,0.0470522
191,875,0.98201096,0.01798904
192,171,0.95146686,0.04853314
193,26,0.97803152,0.02196848
194,270,0.94824898,0.05175102
195,171,0.96150756,0.03849244
196,875,0.97349352,0.02650648
197,767,0.93076682,0.06923318
198,171,0.9668166,0.0331834
199,847,0.91189939,0.08810061
200,634,0.70729387,0.29270613
201,188,0.98862183,0.01137817
202,308,0.9667095,0.0332905
203,693,0.96697772,0.03302228
204,875,0.96432894,0.03567106
205,875,0.98251355,0.01748645
206,559,0.94678742,0.05321258
207,310,0.92212164,0.07787836
208,875,0.98482954,0.01517046
209,196,1.0,0.0
210,817,0.96875834,0.03124166
211,26,0.97804761,0.02195239
212,188,0.97401261,0.02598739
213,171,0.97220427,0.02779573
214,171,0.93250465,0.06749535
215,612,0.95496339,0.04503661
216,310,0.8898834,0.1101166
217,334,0.9076218,0.0923782
218,612,0.96385562,0.03614438
219,875,0.94930023,0.05069977
220,875,0.99140918,0.00859082
221,85,0.946199,0.053801
222,26,0.97137612,0.02862388
223,935,0.93694121,0.06305879
224,210,1.0,0.0
225,875,0.95796663,0.04203337
226,26,0.98005032,0.01994968
227,875,0.94869888,0.05130112
228,438,0.97790623,0.02209377
229,85,0.94101954,0.05898046
230,334,0.8829217,0.1170783
231,171,0.96173,0.03827
232,909,0.98946661,0.01053339
233,862,0.98373044,0.01626956
234,376,0.92814988,0.07185012
235,145,0.93949634,0.06050366
236,171,0.969441,0.030559
237,471,0.89859897,0.10140103
238,171,0.92301023,0.07698977
239,83,0.95318413,0.04681587
240,612,0.92753786,0.07246214
241,26,0.95580745,0.04419255
242,171,0.95115393,0.04884607
