wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Ares Management,https://en.wikipedia.org/wiki/Ares_Management,Public,NYSE: ARES (Class A)Russell 1000 component,1997; 28 years ago (1997),"Los Angeles, California, U.S.",,,,,US$3.885 billion (2024),US$946 million (2024),US$441 million (2024),US$24.884 billion (2024),US$6.824 billion (2024),"approx. 4,200 (November 2025)",,www.aresmgmt.comwww.arescapitalcorp.comwww.arescre.comwww.arespublicfunds.com,"Antony Ressler, John Kissick, Michael Arougheti, David Kaplan, and Bennett Rosenthal",,,
Globe Life,https://en.wikipedia.org/wiki/Globe_Life,Public,NYSE: GLS&P 500 component,"1900; 125 years ago (1900) in Birmingham, Alabama, U.S.","McKinney, Texas, U.S.",,,Matthew Darden (co-CEO)Frank M. Svoboda (co-CEO),,US$5.78 billion (2024),US$1.33 billion (2024),US$1.07 billion (2024),US$29.1 billion (2024),US$5.31 billion (2024),"3,732 (2024)",,globelifeinsurance.com,,Torchmark Corporation (1980–2019),,
Amalgamated Bank,https://en.wikipedia.org/wiki/Amalgamated_Bank,Public,Nasdaq: AMALRussell 2000 Index component,"April 14, 1923; 102 years ago (1923-04-14)","275 Seventh Avenue, New York City, New York, U.S.",,,Priscilla Sims Brown (president & CEO),,$293.371 million (2023),,$90.459 million (2023),$7.97 billion (2023),,425 (2023),New Resource Bank,amalgamatedbank.com,,,,
"Meridian, Mississippi","https://en.wikipedia.org/wiki/Meridian,_Mississippi",,,,,,,,,,,,,,,,www.meridianms.org,,,,
Eastern Broadcasting Company,https://en.wikipedia.org/wiki/Eastern_Broadcasting_Company,Nationwide cable television network,,,,,,,,,,,,,,,,,,,
Assured Investment Management,https://en.wikipedia.org/wiki/Assured_Investment_Management,Subsidiary,,2003,"1633 Broadway, 25th Floor, New York City, New York, U.S.",,,David Buzen (CEO & CIO)Robert de Veer (CRO)Lee Kempler (COO),,,,,,,29 (2023),,"Archived June 19, 2023, at the Wayback Machine",Andrew FeldsteinStephen Siderow,BlueMountain Capital Management (2003-2020),Hedge fund,
X Corp.,https://en.wikipedia.org/wiki/X_Corp.,Subsidiary,,"March 9, 2023; 2 years ago (2023-03-09)[a]","Bastrop, Texas, United States",,Worldwide,"Elon Musk (chairman, CTO) Anthony Armstrong (CFO)",X (formerly Twitter),US$2.7 billion (2024),,,,,"c. 1,500 (August 2023)",X Payments LLC,about.x.com,Elon Musk,,,
Records management,https://en.wikipedia.org/wiki/Records_management,,,,,,,,,,,,,,,,,,,,
BitFuFu,https://en.wikipedia.org/wiki/BitFuFu,Public,Nasdaq: FUFU,2020 (2020),Singapore,,Global,,Self-mining Cloud mining Miner sales Miner hosting services Mining software (BitFuFuOS) Mining pool services,US$198.2 million (2022) US$284.1 million (2023) US$463.3 million (2024),,,"$467.6 million, including 1,792 Bitcoin (as of June 30, 2025)",,,,bitfufu.com,Leo Lu,,,
Hanmi Bank,https://en.wikipedia.org/wiki/Hanmi_Bank,Public,Nasdaq: HAFCS&P 600 Component,1982; 43 years ago (1982),"Los Angeles, California, United States",,,Bonnie Lee (president and CEO),,$5.57 billion[citation needed],,,,,611,,hanmi.com,,,,
Marriott Vacations Worldwide,https://en.wikipedia.org/wiki/Marriott_Vacations_Worldwide,Public,NYSE: VACS&P 400 component,"Hilton Head, South Carolina, U.S.","Orlando, Florida, U.S.",,,Matthew Avril (CEO),,US$ 3.89 billion (2022),,US$ 49 million (2022),US$ 9.6 billion (2022),US$ 2.98 billion (2022),"20,300",,Marriott Vacations Worldwide,,,,
Dave & Buster's,https://en.wikipedia.org/wiki/Dave_%26_Buster%27s,Public,Nasdaq: PLAYS&P 600 Component,"August 31, 1982; 43 years ago (1982-08-31), in Dallas, Texas","Dallas, Texas, U.S.",156,,Chris Morris (CEO),,,,,,,,Main Event Entertainment,www.daveandbusters.com,"David O. CorriveauJames W. ""Buster"" Corley",,,
OceanFirst Bank,https://en.wikipedia.org/wiki/OceanFirst_Bank,Public,Nasdaq: OCFC,1902; 123 years ago (1902),"Toms River, New Jersey, U.S.",,,Christopher Maher (Chairman and CEO)Joseph Lebel (President and COO),,,,US$104.065 million (2023),US$13.538 billion (2023),US$1.661 billion (2023),920 (2023),,oceanfirst.com,,,,US6752341080
Prudential plc,https://en.wikipedia.org/wiki/Prudential_plc,Public,LSE: PRUNYSE: PUKSEHK: 2378FTSE 100 Component,"1848; 177 years ago (1848), in London","London, England, UKHong Kong, China",,Worldwide,Shriti Vadera(chair)Anil Wadhwani(CEO),InsuranceGeneral insuranceHealth insuranceVehicle insuranceTravel insuranceHome insuranceLife insuranceMortgage loansInvestment managementAsset managementMutual funds,$10.358 billion (2024),$2.953 billion (2024),$2.415 billion (2024),$181.876 billion (2024),$18.674 billion (2024),"15,000 (2024)",Eastspring InvestmentsICICI Prudential Life InsuranceICICI Prudential Mutual Fund,prudentialplc.com,,Prudential Corporation Public Limited Company (1978–1999),,
Huntington Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares,Public,Nasdaq: HBANS&P 500 component,"January 1866; 159 years ago (1866-01) as P. W. Huntington & Company in Columbus, Ohio","Columbus, Ohio39°57′40″N 83°00′02″W﻿ / ﻿39.961153°N 83.000594°W﻿ / 39.961153; -83.000594",,"Colorado, Illinois, Indiana, Kentucky, Michigan, Minnesota, North Carolina, Ohio, Pennsylvania, West Virginia, and Wisconsin","Stephen D. Steinour (chairman, president & CEO)Zachary Wasserman (CFO)",,US$11.96 billion (2024),,US$1.801 billion (2024),US$204.2 billion (2024),US$19.74 billion (2024),"19,932 (2024)",,www.huntington.com,P.W. Huntington,P. W. Huntington & Company,,
Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,Public,Nasdaq: ACGLS&P 500 component,2000; 25 years ago (2000),"Hamilton, Bermuda",,,"John M. Pasquesi (Chair)Nicolas Papadopoulo (CEO)David Gansberg (President)Maamoun Rajeh (President)François Morin (CFO)Paul Ingrey (former Chair and CEO), Arch ReinsuranceDinos Iordanou (former Chair, President and CEO)",,US$17.44 billion (2024),US$3.54 billion (2024),US$4.27 billion (2024),US$70.9 billion (2024),US$20.82 billion (2024),"c. 7,200 (February 2025)",,archgroup.com,Robert ClementsPeter A. Appel,,,
Triller (company),https://en.wikipedia.org/wiki/Triller_(company),Private,,"July 23, 2015; 10 years ago (2015-07-23) in Los Angeles, California, U.S.","2121 Avenue of the Stars, Los Angeles, California, U.S.",,Worldwide,Mike Lu (President) Mahi de Silva (CEO) Lauren Braun Diamont (VP of Content & Strategy),,,,,,,,BKFCFlipps MediaThuzio,,David Leiberman Sammy Rubin,TrillerNet Triller Hold Co,TrillerTriller TV,
