T1_index,T2_index,cosine_similarity,cosine_distance
0,7662,0.2683456,0.7316544
1,7662,0.23666634,0.7633337
2,7662,0.26133937,0.73866063
3,10216,0.2284312,0.7715688
4,10216,0.2464754,0.7535246
5,7296,0.24981347,0.75018656
6,7662,0.23837557,0.76162446
7,7662,0.23310111,0.7668989
8,7662,0.26655698,0.733443
9,7662,0.22066636,0.77933365
10,7662,0.23804195,0.76195806
11,10216,0.23207983,0.76792014
12,7662,0.24787213,0.7521279
13,7662,0.23610704,0.76389295
14,10216,0.21805921,0.7819408
15,7296,0.25684303,0.74315697
16,7296,0.22611065,0.77388936
17,2558,0.2198717,0.7801283
18,7662,0.2580972,0.7419028
19,7662,0.23822147,0.76177853
20,7662,0.23360091,0.7663991
21,7662,0.24457347,0.7554265
22,10216,0.2273852,0.77261484
23,7662,0.24041599,0.759584
24,7662,0.22574313,0.7742569
25,10216,0.23965743,0.7603426
26,7662,0.2466476,0.7533524
27,7662,0.27414745,0.72585255
28,10216,0.23621409,0.7637859
29,10216,0.23757921,0.7624208
30,10216,0.20681337,0.79318666
31,7662,0.24383354,0.75616646
32,7662,0.23986652,0.7601335
33,7662,0.21423891,0.7857611
34,7662,0.23619781,0.7638022
35,7662,0.24595125,0.75404876
36,7662,0.24191576,0.75808424
37,7662,0.23852283,0.7614772
38,10216,0.22028853,0.7797115
39,7662,0.24514283,0.7548572
40,7662,0.2341108,0.76588917
41,10216,0.2340706,0.7659294
42,7296,0.24228439,0.7577156
43,7662,0.24260515,0.75739485
44,7662,0.21945566,0.78054434
45,7662,0.27031934,0.72968066
46,7662,0.2174789,0.7825211
47,7662,0.2256406,0.7743594
48,7662,0.2073936,0.7926064
49,7662,0.23581083,0.7641892
50,7662,0.23234458,0.76765543
51,7662,0.23811881,0.7618812
52,7662,0.26124787,0.7387521
53,10216,0.22274242,0.77725756
54,7296,0.24007061,0.7599294
55,7662,0.2511879,0.7488121
56,7662,0.25403678,0.7459632
57,7662,0.2477085,0.7522915
58,7662,0.2524789,0.7475211
59,10216,0.22395673,0.7760433
60,10216,0.25831383,0.74168617
61,10216,0.23483452,0.76516545
62,7662,0.28641206,0.71358794
63,7662,0.2374861,0.7625139
64,10216,0.21473262,0.78526735
65,10216,0.16590574,0.8340943
66,7662,0.23030698,0.769693
67,7662,0.22800757,0.77199244
68,7662,0.24655686,0.7534431
69,7662,0.24078858,0.7592114
70,7662,0.2368711,0.7631289
71,7662,0.2721612,0.7278388
72,7662,0.2335172,0.76648283
73,7662,0.2522965,0.7477035
74,7662,0.23447,0.76553
75,7662,0.23514235,0.76485765
76,7662,0.21944508,0.7805549
77,7296,0.22835517,0.77164483
78,7662,0.25502467,0.7449753
79,7662,0.25047368,0.7495263
80,7662,0.22713284,0.77286714
81,7662,0.2582932,0.7417068
82,2558,0.19259799,0.807402
83,7662,0.22600034,0.7739997
84,7662,0.2173388,0.7826612
85,989,0.24434125,0.75565875
86,7662,0.21828918,0.7817108
87,7662,0.2371943,0.7628057
88,7662,0.24531764,0.75468236
89,7662,0.21914965,0.78085035
90,10216,0.24655503,0.75344497
91,7296,0.26607352,0.7339265
92,7662,0.23161325,0.7683867
93,7662,0.2236126,0.7763874
94,7662,0.22012107,0.7798789
95,7662,0.26300484,0.73699516
96,7662,0.25174809,0.7482519
97,7662,0.23884675,0.7611532
98,989,0.25237152,0.74762845
99,7662,0.24023107,0.75976896
100,7662,0.2329463,0.7670537
101,7662,0.22957034,0.7704297
102,7662,0.24079916,0.7592008
103,7662,0.2647065,0.7352935
104,7662,0.2433624,0.7566376
105,10216,0.23491111,0.7650889
106,7662,0.2394098,0.7605902
107,7662,0.2545795,0.74542046
108,7296,0.24663126,0.75336874
109,7662,0.2708147,0.72918534
110,10216,0.2049666,0.7950334
111,7759,0.2537195,0.7462805
112,7662,0.22138903,0.77861094
113,7662,0.2464837,0.7535163
114,7662,0.20685005,0.79314995
115,7662,0.25548136,0.74451864
116,7662,0.25955153,0.7404485
117,10216,0.2134769,0.7865231
118,10216,0.24980451,0.7501955
119,7662,0.23325062,0.7667494
120,7662,0.23495458,0.7650454
121,7662,0.26066205,0.7393379
122,7662,0.24333647,0.75666356
123,7662,0.2508458,0.7491542
124,7662,0.2281056,0.7718944
125,7662,0.21850684,0.7814932
126,10216,0.22353199,0.77646804
127,7662,0.21709254,0.7829075
128,989,0.1880233,0.8119767
129,10216,0.23555765,0.7644423
130,10216,0.24627687,0.75372314
131,7662,0.24330747,0.7566925
132,7662,0.22862403,0.77137595
133,7662,0.24618572,0.7538143
134,10216,0.22954117,0.7704588
135,2212,0.20369896,0.796301
136,7662,0.26423877,0.7357612
137,7296,0.21920338,0.78079665
138,989,0.25075734,0.74924266
139,989,0.24216318,0.7578368
140,7662,0.24775073,0.75224924
141,10216,0.23431009,0.7656899
142,10216,0.26985502,0.730145
143,7662,0.22085059,0.7791494
144,10216,0.24129543,0.75870454
145,10216,0.23880988,0.7611901
146,10216,0.24751285,0.7524872
147,7662,0.23243229,0.7675677
148,7662,0.24835376,0.7516462
149,7662,0.26051682,0.7394832
150,7662,0.22755107,0.7724489
151,7662,0.2451247,0.7548753
152,7662,0.23754469,0.76245534
153,7662,0.2585637,0.7414363
154,7296,0.22619325,0.77380675
155,7662,0.25192022,0.7480798
156,10216,0.23443788,0.7655621
157,7296,0.18911257,0.81088746
158,7662,0.22667888,0.77332115
159,10216,0.23398131,0.7660187
160,7296,0.25449547,0.7455045
161,7662,0.23599645,0.7640035
162,7662,0.24210157,0.75789845
163,10216,0.22261679,0.7773832
164,7662,0.22634535,0.77365464
165,7662,0.23725891,0.7627411
166,7759,0.26886922,0.7311308
167,7296,0.27167514,0.7283249
168,7662,0.22827971,0.7717203
169,7662,0.2413922,0.7586078
170,10216,0.2877372,0.7122628
171,10216,0.23105817,0.7689418
172,7662,0.2577385,0.7422615
173,10216,0.19444135,0.8055587
174,7662,0.2662572,0.73374283
175,10216,0.23551928,0.7644807
176,10216,0.25953615,0.74046385
177,7662,0.2733264,0.7266736
178,7662,0.23459594,0.76540405
179,7662,0.23762025,0.76237977
180,7662,0.23876208,0.7612379
181,7662,0.20939589,0.7906041
182,10216,0.22539917,0.77460086
183,7662,0.22314996,0.77685004
184,7662,0.22759813,0.77240187
185,7662,0.25814998,0.74185
