ID,VIOLATION LAST MODIFIED DATE,VIOLATION DATE,VIOLATION STATUS,VIOLATION STATUS DATE,VIOLATION DESCRIPTION,VIOLATION LOCATION,VIOLATION INSPECTOR COMMENTS,INSPECTOR ID,INSPECTION NUMBER,INSPECTION STATUS,INSPECTION WAIVED,INSPECTION CATEGORY,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,PROPERTY GROUP,SSA,LATITUDE,LONGITUDE,LOCATION
5409195,10/25/2024,05/16/2016,COMPLIED,10/25/2024,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :BUILDING,"UNABLE TO INSPECT INTERIOR, STAIRWELLS, COMMON AREAS, ALL STOREFRONTS, BASEMENT, REAR PREMISES, BALCONIES, AND ROOF DECKS.  UNVERIFIED DETECTORS AND CONDITIONS.",451988,11934688,FAILED,N,PERIODIC,1783 W HOWARD ST,1783,W,HOWARD,ST,14006,19.0,42.01928994,-87.67580162,"(42.019289941587736, -87.67580161669515)"
7156079,11/25/2024,04/24/2024,COMPLIED,11/04/2024,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :BL00876,"INTERIOR OF BUILDING , NO ENTRY NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",BL00904,14327175,FAILED,N,COMPLAINT,1844 N SAWYER AVE,1844,N,SAWYER,AVE,77017,,41.91506362,-87.7087427,"(41.915063620554506, -87.70874270349249)"
5958822,07/11/2024,03/23/2018,COMPLIED,07/11/2024,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"INTERIOR OF BUILDING /NO RESPONSE. UNABLE TO VERIFY 4803N/3RD FLOOR HEAT COMPLAINT, DETECTORS AND CONDITIONS.",478976,12579508,FAILED,N,PERIODIC,4801 N FAIRFIELD AVE,4801,N,FAIRFIELD,AVE,11747,21.0,41.968599,-87.69732171,"(41.9685990035428, -87.69732171286527)"
7033281,08/30/2023,08/30/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,INTERIOR:002 :,"INTERIOR OF BUILDING, NO ENTRY  NO RESPONSE. UNABLE TO VERIFY APARTMENTS, INTERIOR STAIR SYSTEMS, SMOKE OR CARBON MONOXIDE ALARMS.",464422,13815348,FAILED,N,PERIODIC,921 N LA SALLE DR,921,N,LA SALLE,DR,3950,,41.89966139,-87.63265774,"(41.89966138730225, -87.63265773626321)"
7018187,09/11/2024,08/04/2023,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :BUILDING,","UNABLE TO INSPECT ALL INTERIORS, STAIRWELLS, APARTMENTS, AND BASEMENT (STEEL REAR PORCHES).  UNVERIFIED DETECTORS AND CONDITIONS.",478934,14127834,FAILED,N,PERIODIC,309 E 69TH ST,309,E,69TH,ST,19818,,41.76917933,-87.61810631,"(41.7691793288155, -87.61810631046862)"
5336340,12/14/2023,02/29/2016,COMPLIED,12/14/2023,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :BUILDING,"UNABLE TO INSPECT INTERIOR, STAIRWELLS, APARTMENTS, BASEMENT,",451988,11840896,FAILED,N,PERIODIC,1040 W HOLLYWOOD AVE,1040,W,HOLLYWOOD,AVE,12391,,41.98561276,-87.65690335,"(41.985612754824416, -87.65690335442834)"
6252008,05/10/2024,05/01/2019,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :OTHER,","INTERIOR OF THE BUILDING - NO RESPONSE, UNVERIFIED DETECTORS AND CONDITIONS.",455370,12934405,FAILED,N,PERIODIC,2238 S MICHIGAN AVE,2238,S,MICHIGAN,AVE,16686,,41.85174275,-87.62392133,"(41.85174274583339, -87.62392132568888)"
6874863,08/21/2023,11/07/2022,COMPLIED,08/17/2023,ARRANGE FOR REINSPECTION REGAR,INTERIOR:001 :GAINED ENTRY TO 1ST AND 2ND FLOORS; NO RESPONSE FROM GARDEN UNIT.,"INTEROR OF BUILDING , NO RESPONSE . UNABLE TO VERIFY SMOKE OR CARBON MONOXIDE ALARMS.",451988,13887887,PASSED,N,COMPLAINT,3009 W LYNDALE ST,3009,W,LYNDALE,ST,89125,,41.92226975,-87.7026473,"(41.92226975307182, -87.70264729491797)"
6233379,09/26/2024,04/12/2019,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :OTHER,"INTERIOR OF MOST APARTMENTS - NO ENTRY, UNVERIFIED DETECTORS AND CONDITIONS. NO ENTRANCE TO 1515 -1517, UNABLE TO VERIFY CONDITION OF INTERIOR STAIRWAY. UNABLE TO VERIFY COMPLAINT AT 1515 APT 1 FOR WATER LEAKING AT WINDOW THAT IS PUDDLING UP ON SILL AND FLOOR.",371335,12918485,FAILED,N,PERIODIC,1515 W 81ST ST,1515,W,81ST,ST,21171,,41.74663089,-87.66156449,"(41.74663088766076, -87.66156448891377)"
6254959,05/10/2024,05/07/2019,OPEN,,ARRANGE FOR REINSPECTION REGAR,"OTHER   :    :OTHER,","INTERIOR OF THE BUILDING - NO RESPONSE, UNVERIFIED DETECTORS OR CONDITIONS.",455370,12936990,FAILED,N,PERIODIC,2246 S MICHIGAN AVE,2246,S,MICHIGAN,AVE,16712,,41.85152525,-87.62391549,"(41.851525252320876, -87.62391549331318)"
