title,release_year,artists,genres,region
Blues Acoustique,1999.0,Mississippi Mud (2),Blues,France
50 Years Of Bluespower,2019.0,Flavium,Blues,Netherlands
The Great Piano/Guitar Duo 1941-1946,1997.0,Tampa Red; Big Maceo,Blues,France
Built for Comfort,1973.0,Taj Mahal,Blues,US
Jungle Music,1994.0,Bo Diddley,Blues,Netherlands
I Feel Good,2002.0,John Lee Hooker,Blues,Brazil
Father's Day,2015.0,Ronnie Earl And The Broadcasters,Blues,Russia
Out Of The Blue,2013.0,Randy Scott (16),Blues,US
The Hidden Treasures Of Taj Mahal (1969-1973),2012.0,Taj Mahal,Blues,US
Specs / Silver Sunset,,Todd Rhodes,Blues,US
Sugar Mama Blues,2002.0,Sonny Boy Williamson,Blues,UK
The Adventures Of A Psychedelic Cowboy,,The Sensational Country Blues Wonders!,Blues,US
Blues Harp ,,Carey Bell,Blues,US
Empty Stocking Blues,1985.0,Floyd Dixon,Blues,Sweden
Second Time Around,1996.0,Little Smokey Smothers,Blues,Germany
Live From The 1970 Ann Arbor Blues And Jazz Fest,1970.0,Roosevelt Sykes,Blues,US
Split EP,2016.0,MyBodyHorse; The Shady Greys,Blues,France
No No Blues / Sweet Petunie Blues,,Steamboat Bill And His Guitar,Blues,US
Wonder What Is Wrong With Me,1956.0,Lightnin' Hopkins,Blues,France
John Mayall,,John Mayall,Blues,Belgium
Back To Blues,1990.0,Various,Blues,Germany
The Moonlight Is My Spread / Root Man Blues,1935.0,Walter Davis,Blues,US
Most Things Haven't Worked Out,,Junior Kimbrough,Blues,US
The Temptations,1999.0,The Temptations,Blues,Netherlands
Hold What You Got,2008.0,Wanda Johnson,Blues,US
Most Of All,,The Moonglows,Blues,US
This Is Her Life,2003.0,Jani Jakovac,Blues,Canada
Brownsville Blues,1968.0,Sleepy John Estes,Blues,US
Beale Street Blues,1971.0,Furry Lewis,Blues,France
Texas Justice,2001.0,Kay Kay And The Rays,Blues,US
天地無用! ~真冬の夏祭り~,1997.0,Various,Blues,Japan
Hateful Blues / Frankie Blues,1924.0,Hazel Meyers; Choo Choo Jazzers,Blues,US
Female Blues Singers Volume S/T (1921-1930),1991.0,Various,Blues,Austria
Permanent Record,,Robin Banks (11),Blues,US
Luther Tucker & The Ford Blues Band,1995.0,Luther Tucker; The Ford Blues Band,Blues,Germany
Soulmates,2021.0,Usama Allati,Blues,
I Can Go Down,1966.0,Jimmy Powell And The 5 Dimensions,Blues,Germany & Switzerland
Big Easy EP,1998.0,Dr. Will's Gangsters Of Love,Blues,Germany
Guitar Hot Shots,2006.0,Various,Blues,US
The Best Of Timi Yuro,1963.0,Timi Yuro,Blues,Italy
Everyday I Have The Blues - The Best Of B.B. King,2013.0,B.B. King,Blues,UK
Lonesome Flight,2010.0,Steve Freund,Blues,US
Dancing In The Street / In The Midnight Hour,,Martha Reeves,Blues,France
Dyna-Mite,2018.0,Jon Cleary,Blues,
"""The Rockin' Man"" Sings His Early Stuff!",,Jimmy McCracklin,Blues,
River Hip Mama / How Can You Love Me,1946.0,Washboard Sam And His Washboard Band,Blues,US
Be Faithful / Yours Truly,1955.0,Pee Wee Crayton,Blues,US
Standing The Test Of Time,2009.0,Bobby Rush,Blues,US
The Boogiemeisters,1999.0,Axel Zwingenberger; Vince Weber,Blues,Germany
Left Coast Blues,2007.0,The Insomniacs (3),Blues,US
