title,release_year,artists,genres,region,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Blues Acoustique,1999.0,Mississippi Mud (2),Blues,France,1GQ8bpeJW2o4oOFALGWVDk,Best of Ivan Rebroff (18 Hits),14.0,216306.0,False,0.426,0.208,2.0,-14.852,0.0,0.039,0.984,0.0186,0.097,0.374,94.51,4.0,romance
50 Years Of Bluespower,2019.0,Flavium,Blues,Netherlands,4pZHTACwalMScYknlHyzFQ,Harder Tunes Forever - 100% the Best in Hardstyle and Hardcore,0.0,294197.0,False,0.263,0.935,11.0,-3.964,0.0,0.305,0.00257,1.07e-06,0.207,0.229,154.641,4.0,hardstyle
The Great Piano/Guitar Duo 1941-1946,1997.0,Tampa Red; Big Maceo,Blues,France,5zsatkx2tAjgZSWAJGaK2T,33 Guitar Instrumentals,21.0,97293.0,False,0.465,0.474,2.0,-11.693,1.0,0.0335,0.926,0.913,0.312,0.963,64.496,4.0,bluegrass
Built for Comfort,1973.0,Taj Mahal,Blues,US,1TDWF4d2tyP4VZKOEXbAJu,Tattooed Smiles,25.0,207360.0,False,0.414,0.878,7.0,-5.398,0.0,0.0796,0.19,2.39e-06,0.0894,0.664,94.323,4.0,garage
Jungle Music,1994.0,Bo Diddley,Blues,Netherlands,6hyGyS00ccQ9NE5NpQ7iap,Funky Music,5.0,332950.0,False,0.779,0.86,2.0,-4.609,1.0,0.137,0.123,0.0696,0.102,0.232,122.079,4.0,chicago-house
I Feel Good,2002.0,John Lee Hooker,Blues,Brazil,3lUQpvfWFcxZC3RYAVGE7F,I Feel Good,68.0,136058.0,False,0.803,0.75,11.0,-4.67,1.0,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4.0,chill
Father's Day,2015.0,Ronnie Earl And The Broadcasters,Blues,Russia,5AMWj2Dc7oNb4qCHb5cOad,Minutes to Midnight,45.0,196813.0,False,0.654,0.66,5.0,-5.594,1.0,0.0283,0.0252,0.0371,0.278,0.412,108.039,4.0,grunge
Out Of The Blue,2013.0,Randy Scott (16),Blues,US,3w6qEOd9WRwi2ABP347c5H,Constellations,61.0,197580.0,False,0.596,0.4,11.0,-6.245,0.0,0.0284,0.566,0.000246,0.29,0.227,79.018,4.0,chill
The Hidden Treasures Of Taj Mahal (1969-1973),2012.0,Taj Mahal,Blues,US,4DSw2TcqfzCzZ1VEQ8mPzJ,Lullaby Versions of Disney Classics,28.0,198095.0,False,0.744,0.266,0.0,-19.781,1.0,0.0438,0.915,0.928,0.0536,0.617,125.957,4.0,children
Specs / Silver Sunset,,Todd Rhodes,Blues,US,2RF6eSUY1uOWaQjIC4rAFb,"Glee: The Music, The Complete Season One",49.0,125013.0,False,0.243,0.91,9.0,-5.193,1.0,0.111,0.066,3.37e-06,0.137,0.252,193.95,4.0,club
