id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats
241455.0,volkswagen,Volkswagen Golf,silver,03/2020,2020,10000-20000 EUR,100.0,136.0,Automatic,Electric,,0 g/km,59963.0,e- Navi LED PDC FrontAss LM KlimaA,,,,,,,,,,,,,,
149191.0,opel,Opel Astra,grey,05/2018,2018,10000-20000 EUR,90.0,122.0,Manual,Diesel,"3,6 l/100 km",96 g/km,21980.0,1.6 D Sports Tourer  mit  Video siehe Text ??,,,,,,,,,,,,,,
14754.0,audi,Audi A1,blue,07/2018,2018,10000-20000 EUR,70.0,95.0,Manual,Petrol,"4,4 l/100 km",97 g/km,39920.0,Sportback 1.0 TFSI sport S line-Ext. Navi Optik sc,,,,,,,,,,,,,,
29266.0,bmw,BMW 118,red,09/2011,2011,10000-20000 EUR,105.0,143.0,Manual,Diesel,"4,8 l/100 km",#NAME?,143000.0,118d Cabrio,,,,,,,,,,,,,,
78473.0,hyundai,Hyundai i30,silver,02/2015,2015,10000-20000 EUR,73.0,99.0,Manual,Petrol,"6,5 l/100 km",145 g/km,89000.0,cw 1.4 Trend,,,,,,,,,,,,,,
68063.0,ford,Ford EcoSport,silver,04/2018,2018,10000-20000 EUR,92.0,125.0,Manual,Petrol,"5,2 l/100 km",119 g/km,55893.0,ST-Line (CR6),,,,,,,,,,,,,,
12574.0,audi,Audi A3,white,04/2016,2016,10000-20000 EUR,92.0,125.0,Manual,Petrol,"5,1 l/100 km",121 g/km,78773.0,Sportback Ambition*Pano*Xenon*Navi*PDC*8 Fach,,,,,,,,,,,,,,
179591.0,seat,SEAT Toledo,black,03/2017,2017,10000-20000 EUR,81.0,110.0,Manual,Petrol,,0 g/km,83360.0,1.2/Style+Paket/LED/PDC/SHZ/Teilleder,,,,,,,,,,,,,,
36264.0,bmw,BMW X1,grey,11/2017,2017,10000-20000 EUR,110.0,150.0,Automatic,Diesel,"4,7 l/100 km",124 g/km,192000.0,xDrive18d Sport Line,,,,,,,,,,,,,,
108534.0,mercedes-benz,Mercedes-Benz GLK 320,black,01/2009,2009,10000-20000 EUR,165.0,224.0,Automatic,Diesel,"7,9 l/100 km",209 g/km,141500.0,CDI 4-Matic Aut. Navi Klimaaut. Temp.,,,,,,,,,,,,,,
153416.0,opel,Opel Astra,grey,12/2020,2020,10000-20000 EUR,107.0,145.0,Manual,Petrol,"4,5 l/100 km",102 g/km,53789.0,K ST Elegance Navi/Kamera/Voll-LED/,,,,,,,,,,,,,,
196420.0,skoda,Skoda Octavia,red,04/2019,2019,10000-20000 EUR,85.0,116.0,Manual,Diesel,"4,1 l/100 km",106 g/km,93038.0,"Combi 1.6 TDI Soleil Navi, AHK",,,,,,,,,,,,,,
54208.0,fiat,Fiat Talento,white,01/2017,2017,10000-20000 EUR,92.0,125.0,Manual,Diesel,"6,1 l/100 km",161 g/km,143000.0,L2H1 KLIMAANLAGE*PDC*EURO6*,,,,,,,,,,,,,,
94591.0,land-rover,Land Rover Discovery,black,04/2017,2017,10000-20000 EUR,110.0,150.0,Manual,Diesel,"5,1 l/100 km",135 g/km,132000.0,Sport Pure,,,,,,,,,,,,,,
231093.0,volkswagen,Volkswagen Golf,white,01/2015,2015,10000-20000 EUR,92.0,125.0,Automatic,Petrol,5 l/100 km,116 g/km,67400.0,Comfortline CUP 1.4 TSI DSG  **AUTOMATIK **,,,,,,,,,,,,,,
183156.0,seat,SEAT Arona,white,12/2019,2019,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,1 l/100 km",114 g/km,49600.0,1.0 TSI Xcellence*NAVI*SHZ*PDC*DAB+,,,,,,,,,,,,,,
68083.0,ford,Ford Focus,silver,07/2018,2018,10000-20000 EUR,74.0,101.0,Manual,Petrol,"4,8 l/100 km",109 g/km,84539.0,Turnier 1.0 EcoBoost S/S Business NAVI RFK,,,,,,,,,,,,,,
208576.0,toyota,Toyota Yaris,white,01/2019,2019,10000-20000 EUR,51.0,69.0,Manual,Petrol,"4,3 l/100 km",99 g/km,60000.0,Comfort 1.0 *Kamera*Bluetooth*CarPlay,,,,,,,,,,,,,,
30408.0,bmw,BMW 114,black,09/2012,2012,10000-20000 EUR,75.0,102.0,Manual,Petrol,"5,7 l/100 km",135 g/km,122500.0,i*PDC*Klima*18Zoll-ALU*,,,,,,,,,,,,,,
