wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Shandong Hi-Speed New Energy Group,https://en.wikipedia.org/wiki/Shandong_Hi-Speed_New_Energy_Group,,,,,,,,,,,,,,,,,,,
Hg Capital Trust,https://en.wikipedia.org/wiki/Hg_Capital_Trust,,,1989,,British,Investment trust,,,,,,,,,,,,,Official website
"Finnegan, Henderson, Farabow, Garrett & Dunner","https://en.wikipedia.org/wiki/Finnegan,_Henderson,_Farabow,_Garrett_%26_Dunner",,Limited Liability Partnership,,Marc Finnegan and Douglas Henderson,"Washington, D.C.",,"James Barney, Managing Partner",,,,,,,"$349,205,000 (2021)",,,,,www.finnegan.com
Bank of Ireland,https://en.wikipedia.org/wiki/Bank_of_Ireland,IrelandUnited Kingdom,Public,5 April 1783; 242 years ago (1783-04-05),,"Upper Baggot St, Dublin, Ireland",Banking Financial services,Patrick Kennedy(Governor)Myles O'Grady(CEO),"€1,601 million (2023)","10,845 (2023)","€4,428 million (2023)",,,Finance and insurance Retail banking Corporate banking Investment banking Private banking Mortgages Credit cards,"€7,817 million (2023)",,,,Euronext Dublin: BIRG LSE: BIRGISEQ 20 component,www.bankofireland.com
IntegraFin,https://en.wikipedia.org/wiki/IntegraFin,,Public,1999,,"London, UK",Finance,Richard Cranfield ChairmanAlexander Scott CEO,£52.1 million (2024),,£57.0 million (2024),,,,£144.9 million (2024),,,,LSE: IHPFTSE 250 component,www.integrafin.co.uk/
Two Sigma,https://en.wikipedia.org/wiki/Two_Sigma,,Private,2001; 24 years ago (2001),John Overdeck David Siegel Mark Pickard,"New York, New York, U.S.",Hedge fund,,,"c. 2,000 (2023)",,,,Hedge fund,,,,,,twosigma.com
Old Mutual,https://en.wikipedia.org/wiki/Old_Mutual,,Limited company,"17 May 1845; 180 years ago (1845-05-17)(Cape Town, Cape Colony)",John Fairbairn Saul Solomon,"Sandton, South Africa",Financial services,"Trevor Manuel, Chairman Iain Williamson, CEO Casper Troskie, CFO",,"31,000 (2018)","R9,963 million (2018)",,,Life insuranceSavings and investmentAsset managementBankingShort-term insurance,"R109,877 million (2018)",,,,JSE: OMULSE: OMUZSE: OMU,www.oldmutual.com
Ljubljanska banka,https://en.wikipedia.org/wiki/Ljubljanska_banka,,,,,,,,,,,,,,,,,,,
ESR Group,https://en.wikipedia.org/wiki/ESR_Group,,Private,January 2016; 9 years ago (2016-01),Shen JinchuStuart GibsonCharles Alexander de Portes,Singapore,Real Estate,Brett Robson (Independent Board Chair)Jeffrey Shen (Co-founder and Co-CEO)Stuart Gibson (Co-founder and Co-CEO)Phil Pearce (President),US$268.06 million (FY 2023),"2,298 (FY 2023)",,,,,US$871.33 million (FY 2023),,US$16.19 billion (FY 2023),US$8.73 billion (FY 2023),,www.esr.com
Atlas Mara Limited,https://en.wikipedia.org/wiki/Atlas_Mara_Limited,,Public,28 November 2013; 12 years ago (2013-11-28),Bob Diamond (banker)Ashish Thakkar,"Tortola, British Virgin Islands",Banking and Finance,John Vitalo (CEO),US$ 47.7 Million (2017),"~6,500 (2015)",,,,Commercial banking,US$ 420 Million (2017),,US$ 3.14 Billion (2017),US$ 0.79 Billion (2017),LSE: ATMA,www.atlasmara.com
The Independent,https://en.wikipedia.org/wiki/The_Independent,,Print newspaper (1986–2016)Online only newspaper (2016–present),7 October 1986; 39 years ago (1986-10-07),,"Alphabeta Building, 14–18 Finsbury Square, EC2A 1AH, London",,,,,,,,,,,,,,independent.co.ukthe-independent.com
Sequoia Economic Infrastructure Income Fund,https://en.wikipedia.org/wiki/Sequoia_Economic_Infrastructure_Income_Fund,,Public,2015; 10 years ago (2015),,"Saint Peter Port, Guernsey",,James Stewart (chair),,,,,,,,,,,LSE: SEQIFTSE 250 component,www.seqifund.com
