Source,Company Name,ICB Industry,Admission Date,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
Hong Kong,Shandong Hi-Speed Holdings Group Limited,Financials,,,,,,,412.0,Current,CHAN Wai Hei William,Independent Non Executive Director - A/F,,2020-05-14,,Shandong Hi-Speed New Energy Group,https://en.wikipedia.org/wiki/Shandong_Hi-Speed_New_Energy_Group,,,,,,,,,,,,,,,,,,,
London,HG CAPITAL TRUST PLC,Financials,1989-12-13 0:00,United Kingdom,Europe,MAIN MARKET,No,1214.21,,,,,,,,CALB,https://en.wikipedia.org/wiki/CALB,,,,,"Changzhou, China",Lithium-ion batteries,Liu Jingyu (CEO),,,,,,,,,,,HKG: 3931,en.calb-tech.com
London,HENDERSON EUROPEAN FOCUS TRUST PLC,Financials,1971-12-8 0:00,United Kingdom,Europe,MAIN MARKET,No,258.73,,,,,,,,Marshall Group,https://en.wikipedia.org/wiki/Marshall_Group,,UK Private Limited Company,1 October 1909,,"Cambridge City Airport, UK",Aerospace & Defence,Roger Hardy (Chair)Gareth Williams (CEO Engineering Businesses),£1.9 million[citation needed],"over 2,000[citation needed]",£4.1 million[citation needed],,,C-130 maintenanceDeployable infrastructureAdvanced structuresEngineering,£321 million[citation needed],,,,,https://marshallgroup.com/
London,BANK OF IRELAND GROUP PLC,Financials,2017-7-10 0:00,Ireland,Europe,MAIN MARKET,Yes,2060.43,,,,,,,,Bank of Ireland,https://en.wikipedia.org/wiki/Bank_of_Ireland,IrelandUnited Kingdom,Public,5 April 1783; 242 years ago (1783-04-05),,"Upper Baggot St, Dublin, Ireland",Banking Financial services,Patrick Kennedy(Governor)Myles O'Grady(CEO),"€1,601 million (2023)","10,845 (2023)","€4,428 million (2023)",,,Finance and insurance Retail banking Corporate banking Investment banking Private banking Mortgages Credit cards,"€7,817 million (2023)",,,,Euronext Dublin: BIRG LSE: BIRGISEQ 20 component,www.bankofireland.com
London,INTEGRAFIN HOLDINGS PLC,Financials,2018-2-27 0:00,United Kingdom,Europe,MAIN MARKET,No,1611.88,,,,,,,,IntegraFin,https://en.wikipedia.org/wiki/IntegraFin,,Public,1999,,"London, UK",Finance,Richard Cranfield ChairmanAlexander Scott CEO,£52.1 million (2024),,£57.0 million (2024),,,,£144.9 million (2024),,,,LSE: IHPFTSE 250 component,www.integrafin.co.uk/
London,SIGMA CAPITAL GROUP PLC,Financials,2000-4-27 0:00,United Kingdom,Europe,AIM,No,105.22,,,,,,,,Thorn Lighting,https://en.wikipedia.org/wiki/Thorn_Lighting,Worldwide,Private,29 March 1928,Sir Jules Thorn,"London, England",Lighting,,,"more than 1,000 (2015)",,,Zumtobel Group,Professional luminaires and controls,€109 million (2020),,,,,www.thornlighting.com
London,OLD MUTUAL LIMITED,Financials,2018-6-26 0:00,South Africa,Africa,MAIN MARKET,Yes,2090.6,,,,,,,,Old Mutual,https://en.wikipedia.org/wiki/Old_Mutual,,Limited company,"17 May 1845; 180 years ago (1845-05-17)(Cape Town, Cape Colony)",John Fairbairn Saul Solomon,"Sandton, South Africa",Financial services,"Trevor Manuel, Chairman Iain Williamson, CEO Casper Troskie, CFO",,"31,000 (2018)","R9,963 million (2018)",,,Life insuranceSavings and investmentAsset managementBankingShort-term insurance,"R109,877 million (2018)",,,,JSE: OMULSE: OMUZSE: OMU,www.oldmutual.com
London,"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",Financials,2018-11-14 0:00,Slovenia,Europe,MAIN MARKET,Yes,,,,,,,,,Ljubljanska banka,https://en.wikipedia.org/wiki/Ljubljanska_banka,,,,,,,,,,,,,,,,,,,
Hong Kong,ESR GROUP LIMITED,Financials,,,,,,,1821.0,Delisted,GIBSON Stuart,Executive Director,CEO,2016-01-20,2025-07-03,CALB,https://en.wikipedia.org/wiki/CALB,,,,,"Changzhou, China",Lithium-ion batteries,Liu Jingyu (CEO),,,,,,,,,,,HKG: 3931,en.calb-tech.com
London,ATLAS MARA LIMITED,Financials,2013-12-20 0:00,British Virgin Islands,North America,MAIN MARKET,Yes,36.76,,,,,,,,Thorn Lighting,https://en.wikipedia.org/wiki/Thorn_Lighting,Worldwide,Private,29 March 1928,Sir Jules Thorn,"London, England",Lighting,,,"more than 1,000 (2015)",,,Zumtobel Group,Professional luminaires and controls,€109 million (2020),,,,,www.thornlighting.com
