symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
ARES,Ares Management Corporation Class A Common Stock,$147.43,3.12,2.162%,1424060,48190313477.0,United States,2014.0,Investment Managers,Finance,/market-activity/stocks/ares,Chegg,https://en.wikipedia.org/wiki/Chegg,,NYSE: CHGGRussell 2000 component,July 2006; 19 years ago (2006-07),"Santa Clara, California, U.S.",,,Dan Rosensweig (chair)Nathan Schultz (president & CEO),,US$618 million (2024),−US$737 million (2024),−US$873 million (2024),US$859 million (2024),US$193 million (2024),,BusuuNotehall,,Aayush PhumbhraOsman RashidJosh Carlson,,Book rental serviceDigital textbooksE-learningOnline tutoringSocial networking service,
GL,Globe Life Inc. Common Stock,$132.42,2.05,1.572%,561159,10541400036.0,United States,,Life Insurance,Finance,/market-activity/stocks/gl,Itron,https://en.wikipedia.org/wiki/Itron,Public,Nasdaq: ITRIS&P 600 Component,1977; 48 years ago (1977),"Liberty Lake, Washington, United States",,,Tom Deitrich (president & CEO),,$2 billion (2021),,,,,"5,635",,,,,Smart Meters and Modules Smart Grid Data Collection Analysis Software Data Management Water Communication Modules Internet of Things (IoT) Smart Cities Demand Response Professional Services Sensing + Control Solar Monitoring Natural Gas Detectors Distributed Energy Resources Smart Streetlights,
AMAL,Amalgamated Financial Corp. Common Stock (DE),$28.81,1.0,3.596%,178579,862465379.0,United States,2018.0,Major Banks,Finance,/market-activity/stocks/amal,National Grid plc,https://en.wikipedia.org/wiki/National_Grid_plc,Public limited company,LSE: NG.NYSE: NGGFTSE 100 component (NG.),1990; 35 years ago (1990) in London,"London, England, UK",,,Paula Rosput Reynolds (Chair)John Pettigrew (CEO),,£18.378 billion (2025),£4.765 billion (2025),£2.622 billion (2025),£106.742 billion (2025),£37.826 billion (2025),"31,645 (2025)",,nationalgrid.com,,New National Grid plc (2000–2002)National Grid Group plc (January–October 2002)National Grid Transco plc (2002–2005),Electricity transmissionElectricity distributionGas distributionGas transmission,GB00BDR05C01
MRBK,Meridian Corporation Common Stock,$15.10,0.6,4.138%,94196,173913586.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mrbk,Capri Holdings,https://en.wikipedia.org/wiki/Capri_Holdings,Public,NYSE: CPRIS&P 400 component,1981; 44 years ago (1981),Executive offices: London; Operations offices: New York,,Worldwide,John D. Idol (chairman and CEO),,US$5.17 billion (2024),US$−241 million (2024),US$−229 million (2024),US$6.69 billion (2024),US$1.60 billion (2024),"15,100 (2024)",Versace (2018–2025) Jimmy Choo Michael Kors,capriholdings.com,Michael Kors,Michael Kors Holdings Limited,Apparel handbags footwear watches accessories,VGG1890L1076
EBC,Eastern Bankshares Inc. Common Stock,$18.21,0.77,4.415%,1716595,3838630305.0,United States,2020.0,Savings Institutions,Finance,/market-activity/stocks/ebc,InvenTrust Properties,https://en.wikipedia.org/wiki/InvenTrust_Properties,Public company,NYSE: IVT,2004; 21 years ago (2004),"Downers Grove, Illinois",,,"Daniel J. Busch, President & CEO Michael Phillips, CFO",,$273 million (2024),,$13 million (2024),$2.635 billion (2024),$1.760 billion (2024),101 (2024),,www.inventrustproperties.com,,,Shopping malls,
AGO,Assured Guaranty Ltd. Common Stock,$89.79,1.74,1.976%,351183,4140135640.0,Bermuda,2004.0,Property-Casualty Insurers,Finance,/market-activity/stocks/ago,American River Bank,https://en.wikipedia.org/wiki/American_River_Bank,Public,Nasdaq: AMRB,1983; 42 years ago (1983),"Sacramento, California",,,David E. Ritchie (CEO),,"$23,600,000",,,,,107,,AmericanRiverBank.com,,,,
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,$7.68,-1.43,-15.697%,743466,324168146.0,Cayman Islands,2018.0,Finance: Consumer Services,Finance,/market-activity/stocks/xyf,Utz Brands,https://en.wikipedia.org/wiki/Utz_Brands,Public,NYSE: UTZ,1921; 104 years ago (1921),"Hanover, Pennsylvania",,,Dylan Lissette (chairman)Howard Friedman (CEO),,US$1.181 billion (2021),US$2.5 million (2021),US$16.2 million (2020),US$10.56 million (2020),,"2,000 (2021)",,www.utzsnacks.com,William and Salie Utz,,Snack foods,
RM,Regional Management Corp. Common Stock,$36.51,-0.03,-0.082%,110227,354614511.0,United States,2012.0,Finance: Consumer Services,Finance,/market-activity/stocks/rm,List of entities involved in 2007–2008 financial crises,https://en.wikipedia.org/wiki/List_of_entities_involved_in_2007%E2%80%932008_financial_crises,,,,,,,,,,,,,,,,,,,,
FUFUW,BitFuFu Inc. Warrant,$0.24,-0.0074,-2.991%,22716,39145588.0,Singapore,,Finance: Consumer Services,Finance,/market-activity/stocks/fufuw,"Valhi, Inc.","https://en.wikipedia.org/wiki/Valhi,_Inc.",Public,NYSE: VHIRussell 2000 Index component,1987,"Dallas, Texas, U.S.",,,"Robert D. Graham, Vice Chairman of the Board, President and CEO",,US$2.296 Billion (FY 2021),US$ 257.8 Million (FY 2021),US$ 127.2 Million (FY 2021),US$3.005 Billion (FY 2021),US$1.158 Billion (FY 2021),"2,847",,Valhi.net,,,"titanium dioxide pigments (TiO2), security products, recreational marine products, real estate, water distribution, insurance",
HAFC,Hanmi Financial Corporation Common Stock,$27.26,0.8,3.023%,202011,816581669.0,United States,,Major Banks,Finance,/market-activity/stocks/hafc,SL Green Realty,https://en.wikipedia.org/wiki/SL_Green_Realty,Public company,NYSE: SLGS&P 600 component,1997; 28 years ago (1997),"New York City, New York, U.S.",,,"Marc Holliday, Chairman & CEOAndrew W. Mathias, PresidentMatthew J. DiLiberto, CFO",,US$886 million (2024),,US$30 million (2024),US$10.470 billion (2024),US$3.951 billion (2024),"1,221 (2024)",,slgreen.com,Stephen L. Green,,,
