symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
ARES,Ares Management Corporation Class A Common Stock,$147.43,3.12,2.162%,1424060,48190313477.0,United States,2014.0,Investment Managers,Finance,/market-activity/stocks/ares,Sangoma Technologies Corporation,https://en.wikipedia.org/wiki/Sangoma_Technologies_Corporation,Public,TSX: STC,1984,"Markham, Ontario, Canada",,Worldwide,"Charles Salemeh, CEOLarry Stock, CFO",,$252 million CAD (FY2023),,-$29 million CAD (FY2023),,,,"VoIP Supply, Digium, Inc., .e4, Star2Star",sangoma.com,David Mandelstam,,PBXactSwitchvoxFreePBXSIPStationSession Border ControllersTelephony CardsVoIP Gateways,
GL,Globe Life Inc. Common Stock,$132.42,2.05,1.572%,561159,10541400036.0,United States,,Life Insurance,Finance,/market-activity/stocks/gl,Spire Inc.,https://en.wikipedia.org/wiki/Spire_Inc.,Public,NYSE: SRS&P 400 Component,1857 as The Laclede Gas Light Company,"St. Louis, Missouri, United States",,"St. Louis, MissouriKansas City, MissouriBirmingham, AlabamaMontgomery, AlabamaMobile, AlabamaHattiesburg, Mississippi",Steve Lindsey (CEO),Natural gas distribution,US$1.855 billion (Fiscal Year Ended 30 September 2020),US$206.4 million (Fiscal Year Ended 30 September 2020),US$88.6 million (Fiscal Year Ended 30 September 2020),US$8.241 billion (Fiscal Year Ended 30 September 2020),US$2.522 billion (Fiscal Year Ended 30 September 2020),"3,296 (2016)","Alabama Gas Corporation (Alagasco)EnergySouth, Inc.Laclede Gas Company",spireenergy.com,,,Natural gas,
AMAL,Amalgamated Financial Corp. Common Stock (DE),$28.81,1.0,3.596%,178579,862465379.0,United States,2018.0,Major Banks,Finance,/market-activity/stocks/amal,StoneX Group Inc.,https://en.wikipedia.org/wiki/StoneX_Group_Inc.,Public,Nasdaq: SNEXS&P 600 Component,1924; 101 years ago (1924),New York,,,Sean O’Connor (CEO)Bill Dunaway (CFO)Stuart Davison (COO),,US$64.38 billion (2023)[citation needed],,US$234.8 million (2023),,,"4,000 (2024)",,www.stonex.com/en/,,INTL FCStone,,
MRBK,Meridian Corporation Common Stock,$15.10,0.6,4.138%,94196,173913586.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mrbk,Black Hills Corporation,https://en.wikipedia.org/wiki/Black_Hills_Corporation,Public,NYSE: BKHS&P 400 component,1941; 84 years ago (1941),"Rapid City, South Dakota, United States",,,"Linden Evans (president, CEO)",,US$1.696 Billion (Fiscal Year Ended 31 December 2020),US$428.303 Million (Fiscal Year Ended 31 December 2020),US$242.763 Million (Fiscal Year Ended 31 December 2020),US$8.088 Billion (Fiscal Year Ended 31 December 2020),US$2.662 Billion (Fiscal Year Ended 31 December 2020),,"Black Hills PowerCheyenne Light, Fuel & PowerBlack Hills EnergyWyodak ResourceBH Exploration and ProductionEnserco Energy",ir.blackhillscorp.com,J. B. French,,,
EBC,Eastern Bankshares Inc. Common Stock,$18.21,0.77,4.415%,1716595,3838630305.0,United States,2020.0,Savings Institutions,Finance,/market-activity/stocks/ebc,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,Public,NYSE: BXS&P 500 component,1985; 40 years ago (1985),"345 Park AvenueNew York City, U.S.",,,Stephen Schwarzman (chairman and CEO)Jonathan Gray (president and COO)Joseph Baratta (head of private equity)David Blitzer (chairman of tactical opportunities),,US$13.23 billion (2024),,US$2.44 billion (2024),US$43.5 billion (2024),US$8.21 billion (2024),"4,895 (2024)",Blackstone Credit,blackstone.com,Peter PetersonStephen Schwarzman,,Alternative investmentPrivate equity,
AGO,Assured Guaranty Ltd. Common Stock,$89.79,1.74,1.976%,351183,4140135640.0,Bermuda,2004.0,Property-Casualty Insurers,Finance,/market-activity/stocks/ago,Fortis Inc.,https://en.wikipedia.org/wiki/Fortis_Inc.,Public,TSX: FTSNYSE: FTSS&P/TSX 60 component,1987; 38 years ago (1987),"St. John's, Newfoundland and Labrador, Canada",,,"David Hutchens, President & CEO",,CA$11.5 billion (2024),CA$3.29 billion (2024),CA$1.83 billion (2024),CA$73.5 billion (2024),CA$23.8 billion (2024),"9,800 (2024)",,www.fortisinc.com,Angus Bruneau,,"Electricity, Natural Gas",
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,$7.68,-1.43,-15.697%,743466,324168146.0,Cayman Islands,2018.0,Finance: Consumer Services,Finance,/market-activity/stocks/xyf,SSR Mining,https://en.wikipedia.org/wiki/SSR_Mining,Public,TSX: SSRMNasdaq: SSRMRussell 2000 componentASX: SSR,1946; 79 years ago (1946),"Denver, Colorado, U.S.",,,"Rod Antal (president, CEO, & directorAlison (CFO)",,,,,,,"2,429 (December 31, 2021)",,ssrmining.com,,Silver Standard Resources Inc.,GoldSilverCopper,
RM,Regional Management Corp. Common Stock,$36.51,-0.03,-0.082%,110227,354614511.0,United States,2012.0,Finance: Consumer Services,Finance,/market-activity/stocks/rm,BCE Inc.,https://en.wikipedia.org/wiki/BCE_Inc.,Public,TSX: BCENYSE: BCES&P/TSX 60 component,1983; 42 years ago (1983),"Verdun, Quebec, Canada",,,"Mirko Bibic (president & CEO)Glen LeBlanc (CFO & vice chair, Atlantic Canada)",,CA$24.41 billion (2024),CA$10.59 billion (2024),CA$375 million (2024),CA$73.49 billion (2024),CA$17.36 billion (2024),"40,390 (2024)",Bell CanadaBell MediaBell Technical SolutionsMaple Leaf Sports & Entertainment (37.5%)Bell MobilityBell AliantVirgin PlusBell InternetBell Satellite TVBell Fibe TVFibeBell MTSLucky MobileThe Source (2009–2024) (Converted to Best Buy Express)Glentel Inc. (50%)Northwestel Ziply Fiber,bce.ca,,Bell Canada Enterprises Inc. (1983–1988),Fixed line and mobile telephonyInternet servicesDigital televisionRadio broadcastingPrint,
FUFUW,BitFuFu Inc. Warrant,$0.24,-0.0074,-2.991%,22716,39145588.0,Singapore,,Finance: Consumer Services,Finance,/market-activity/stocks/fufuw,StoneX Group Inc.,https://en.wikipedia.org/wiki/StoneX_Group_Inc.,Public,Nasdaq: SNEXS&P 600 Component,1924; 101 years ago (1924),New York,,,Sean O’Connor (CEO)Bill Dunaway (CFO)Stuart Davison (COO),,US$64.38 billion (2023)[citation needed],,US$234.8 million (2023),,,"4,000 (2024)",,www.stonex.com/en/,,INTL FCStone,,
HAFC,Hanmi Financial Corporation Common Stock,$27.26,0.8,3.023%,202011,816581669.0,United States,,Major Banks,Finance,/market-activity/stocks/hafc,Sangoma Technologies Corporation,https://en.wikipedia.org/wiki/Sangoma_Technologies_Corporation,Public,TSX: STC,1984,"Markham, Ontario, Canada",,Worldwide,"Charles Salemeh, CEOLarry Stock, CFO",,$252 million CAD (FY2023),,-$29 million CAD (FY2023),,,,"VoIP Supply, Digium, Inc., .e4, Star2Star",sangoma.com,David Mandelstam,,PBXactSwitchvoxFreePBXSIPStationSession Border ControllersTelephony CardsVoIP Gateways,
