Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Kia,2014,Optima,Sedan,2014 Kia Optima SLI,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,160000,Black / -,"Clontarf, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2016,Colorado,Ute / Tray,2016 Holden Colorado LS (4X2),USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,8.9 L / 100 km,207250,White / -,"Smithfield, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf 90 TSI Comfortline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.4 L / 100 km,169766,Grey / Grey,"Dandenong, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Subaru,2014,Impreza,Hatchback,2014 Subaru Impreza 2.0I (awd),USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,151835,Blue / Grey,"West Gosford, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mitsubishi,2014,Lancer,Sedan,2014 Mitsubishi Lancer ES Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,147362,Blue / -,"Cardiff, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2010,Commodore,Ute / Tray,2010 Holden Commodore SS,USED,Manual,"8 cyl, 6 L",Rear,Unleaded,14.5 L / 100 km,242000,Green / -,"Smithfield, NSW",8 cyl,Ute / Tray, 2 Doors, 2 Seats,10000-20000 AUD
Mazda,2015,3,Hatchback,2015 Mazda 3 SP25 GT,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.1 L / 100 km,260385,White / -,"Minto, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Holden,2013,Colorado,Ute / Tray,2013 Holden Colorado LX (4X2),USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,8.9 L / 100 km,195055,White / -,"Toowoomba, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,10000-20000 AUD
Mitsubishi,2015,Lancer,Sedan,2015 Mitsubishi Lancer LS,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,134175,Red / Black,"Mayfield West, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2014,Sportage,SUV,2014 Kia Sportage SI (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.8 L / 100 km,137044,Grey / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Subaru,2014,Impreza,Hatchback,2014 Subaru Impreza 2.0I-S (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.8 L / 100 km,130641,Silver / Black,"Hamilton North, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mazda,2016,3,Sedan,2016 Mazda 3 NEO,USED,Manual,"4 cyl, 2 L",Front,Unleaded,5.8 L / 100 km,78201,Grey / -,"Woodridge, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2015,Golf,Hatchback,2015 Volkswagen Golf 110 TDI Highline,USED,Automatic,"4 cyl, 2 L",Front,Diesel,4.9 L / 100 km,167500,Black / -,"St Albans, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Audi,2016,Q3,SUV,2016 Audi Q3 1.4 Tfsi (110KW),USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,115482,Red / -,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2013,Cerato,Sedan,2013 Kia Cerato S,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.8 L / 100 km,152513,White / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee Blackhawk,USED,Automatic,"6 cyl, 3.6 L",4WD,Premium,10.4 L / 100 km,290932,Grey / -,"Slacks Creek, QLD",6 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Subaru,2013,Forester,SUV,2013 Subaru Forester 2.0I,USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.2 L / 100 km,122077,Red / -,"Sylvania, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2016,3,Sedan,2016 Mazda 3 SP25,USED,Manual,"4 cyl, 2.5 L",Front,Unleaded,6.5 L / 100 km,70553,Black / Cloth,"Belconnen, ACT",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2012,3,Hatchback,2012 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,67639,Red / Grey,"Castle Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5 L / 100 km,110702,Silver / Grey,"Mayfield West, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2014,Barina,Hatchback,2014 Holden Barina Spark CD,USED,Manual,"4 cyl, 1.2 L",Front,Unleaded,5.2 L / 100 km,142142,Red / Black,"Ringwood, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Mazda,2013,CX-5,SUV,2013 Mazda CX-5 Grand Tourer (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,149666,Silver / -,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Subaru,2012,XV,SUV,2012 Subaru XV 2.0I,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,173365,Grey / Black,"Mayfield West, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2009,BT-50,Ute / Tray,2009 Mazda BT-50 B3000 Freestyle DX+,USED,Manual,"4 cyl, 3 L",Rear,Diesel,8.3 L / 100 km,257000,White / -,"Archerfield, QLD",4 cyl,Ute / Tray, 2 Doors, 4 Seats,10000-20000 AUD
Kia,2014,Sportage,SUV,2014 Kia Sportage SI Premium (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.8 L / 100 km,104878,Grey / -,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2011,Golf,Wagon,2011 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2 L / 100 km,159000,White / -,"Moorabbin, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2015,IX35,SUV,2015 Hyundai IX35 SE (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.4 L / 100 km,117578,White / -,"Cardiff, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2008,X-Trail,SUV,2008 Nissan X-Trail ST (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,9.3 L / 100 km,184398,Silver / Grey,"Croydon, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2013,Cruze,Sedan,2013 Holden Cruze CD Equipe,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,124292,White / Black,"West Footscray, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Ford,2013,Territory,SUV,2013 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,157045,Red / Black,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Volkswagen,2015,Golf,SUV,2015 Volkswagen Golf Alltrack 132 TSI,USED,Automatic,"4 cyl, 1.8 L",AWD,Premium,6.7 L / 100 km,189451,White / Black,"Hobart, TAS",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Core,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,10552,White / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Nissan,2010,Navara,Ute / Tray,2010 Nissan Navara ST (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,315001,Red / -,"Belmont, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2013,Commodore,Sedan,2013 Holden Commodore SV6,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,229933,White / Black,"Granville, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2008,Navara,Ute / Tray,2008 Nissan Navara ST-X (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,198000,Grey / -,"Moorabbin, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
