Source,Company Name,ICB Industry,Admission Date,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (￡m),Stock Code,Listing Status,Director's English Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd),wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
London,1PM PLC,Financials,2006-8-2 0:00,Financial Services,United Kingdom,Europe,AIM,No,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,1SPATIAL PLC,Technology,2009-2-2 0:00,Technology,United Kingdom,Europe,AIM,No,32.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,3I GROUP PLC,Financials,1994-7-18 0:00,Financial Services,United Kingdom,Europe,MAIN MARKET,No,9351.78,,,,,,,,3i Infotech,https://en.wikipedia.org/wiki/3i_Infotech,Worldwide,Public,11 October 1993,,"Navi Mumbai, India",TechnologyIT servicesOutsourcing,"Raj Ahuja, Acting CEO",,5600+,,,,,₹814 crore (US$96 million) (2024),,,,BSE: 532628 NSE: 3IINFOTECH,3i-infotech.com
London,3I INFRASTRUCTURE PLC,Financials,2007-3-13 0:00,Financial Services,Jersey,Europe,MAIN MARKET,No,2629.73,,,,,,,,3i Infrastructure,https://en.wikipedia.org/wiki/3i_Infrastructure,,Public,2007; 18 years ago (2007),3i,Jersey,Investment,Richard Laing (chairman),£333 million (2025),,£333 million (2025),,,,£386 million (2025),,,,LSE: 3INFTSE 250 Component,www.3i-infrastructure.com
London,4D PHARMA PLC,Health Care,2014-2-18 0:00,Health Care,United Kingdom,Europe,AIM,No,143.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,4IMPRINT GROUP PLC,Consumer Discretionary,1953-3-13 0:00,Media,United Kingdom,Europe,MAIN MARKET,No,581.37,,,,,,,,4imprint,https://en.wikipedia.org/wiki/4imprint,,Private,1985; 40 years ago (1985),,"London, England, UK",Promotional products,Paul Moody (chairman)Kevin Lyons-Tarr (CEO),$117.2 million (2024),,$148.1 million (2024),,,,"$1,367.9 million (2024)",,,,LSE: FOURFWB: IMWFTSE 250 component,www.4imprint.com
London,600 GROUP PLC,Basic Materials,2011-7-14 0:00,Basic Resources,United Kingdom,Europe,AIM,No,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,7DIGITAL GROUP PLC,Consumer Discretionary,2014-6-10 0:00,Retail,United Kingdom,Europe,AIM,No,35.39,,,,,,,,7digital,https://en.wikipedia.org/wiki/7digital,20 countries (August 2023),,January 2004,,"69 Wilson Street, London EC2A 2BB, London, United Kingdom",B2B Music Technology Services,Paul Langworthy (CEO) Michael Juskiewicz (CFO) Samantha Sawyer (CCO) Jon Hilbrants (CCO),,70,,Songtradr,,,EUR 6.69 million (2021),"Entertainment News, Unique The Production Company, Smooth Operations, Unique Interactive, Above The Title",,,,www.7digital.com
London,888 HOLDINGS PLC,Consumer Discretionary,2005-10-4 0:00,Travel and Leisure,Gibraltar,Europe,MAIN MARKET,Yes,988.21,,,,,,,,888 Seventh Avenue,https://en.wikipedia.org/wiki/888_Seventh_Avenue,,Office,,,,,,,,,Vornado Realty Trust,,,,,,,,
London,88 ENERGY LIMITED,Energy,2012-2-3 0:00,Energy,Australia,Pacific,AIM,Yes,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
