OBJECTID,SE_ANNO_CAD_DATA,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,DIAGRAMLINK,REPORTLINK,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,STCOLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO,Source of the collision report,Source description,Added date,Modified date,SHAREDMICROMOBILITYCD,SHAREDMICROMOBILITYDESC,x,y
32692753,System.Byte[],321641,323141,3750334,Matched,Block,,FAIRVIEW AVE E BETWEEN E BLAINE ST AND E NEWTON ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,07/20/2019 12:00:00 AM,7/20/2019 8:18:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\00110000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3750334.pdf,,,,32.0,One parked--one moving,0,0,Y,2019-266950,PTCR,Police Traffic Collision Report,7/30/2019 12:00:00 AM,10/2/2019 12:00:00 AM,,,1272034.77323535,235553.335717246
32633766,System.Byte[],181598,181638,3732577,Matched,Block,,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,12/02/2014 12:00:00 AM,12/2/2014 12:00:00 PM,Mid-Block (not related to intersection),13.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\12139100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3732577.pdf,,,,32.0,One parked--one moving,0,0,N,2014-400818,PTCR,Police Traffic Collision Report,12/22/2014 12:00:00 AM,5/4/2015 12:00:00 AM,,,1269887.26308915,229875.828511432
32693862,System.Byte[],321284,322784,3805911,Matched,Intersection,30540.0,SEATTLE BLVD S AND S DEARBORN ST,,,2,Injury Collision,Left Turn,4,0,0,2,4,0,0,07/17/2019 12:00:00 AM,7/17/2019 9:07:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\42117800.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3805911.pdf,,,,28.0,From opposite direction - one left turn - one straight,0,0,N,2019-264349,PTCR,Police Traffic Collision Report,7/22/2019 12:00:00 AM,10/2/2019 12:00:00 AM,,,1271605.85195491,220992.684182346
32661565,System.Byte[],231755,232155,E600588,Matched,Block,,RAINIER AVE S BETWEEN S KENYON ST AND S ELMGROVE ST,,,2,Injury Collision,Head On,2,0,0,2,1,0,0,10/23/2016 12:00:00 AM,10/23/2016 6:34:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11115200.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E600588.pdf,,,,30.0,From opposite direction - all others,0,0,N,2016-384129,PTCR,Police Traffic Collision Report,12/20/2016 12:00:00 AM,12/20/2016 12:00:00 AM,,,1285521.53651316,196993.206013769
32660629,System.Byte[],230643,231043,3762310,Matched,Block,,NW 73RD ST BETWEEN 8TH S AVE NW AND DIBBLE AVE NW,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,10/05/2016 12:00:00 AM,10/5/2016 12:35:00 AM,Mid-Block (not related to intersection),14.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Unknown,Unknown,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33143900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3762310.pdf,,,,32.0,One parked--one moving,0,0,N,16-360757,PTCR,Police Traffic Collision Report,12/6/2016 12:00:00 AM,12/6/2016 12:00:00 AM,,,1262741.62692183,252332.824374437
32634878,System.Byte[],180406,180466,3588432,Matched,Block,,VIRGINIA ST BETWEEN 7TH AVE AND 8TH AVE,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,12/08/2014 12:00:00 AM,12/8/2014 6:04:00 AM,Driveway Junction,51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear,Wet,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22512400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3588432.pdf,,,,45.0,Vehicle - Pedalcyclist,14306,0,N,2014-406341,PTCR,Police Traffic Collision Report,12/10/2014 12:00:00 AM,5/4/2015 12:00:00 AM,,,1269565.67262481,228098.367389619
32727439,System.Byte[],364101,365581,ED44644,Matched,Intersection,35313.0,M L KING JR ER WAY S AND MERTON WAY S,,,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,03/21/2023 12:00:00 AM,3/21/2023 5:42:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\ED44644.pdf,,,,30.0,From opposite direction - all others,0,0,N,2023-77391,PTCR,Police Traffic Collision Report,8/9/2023 12:00:00 AM,8/9/2023 12:00:00 AM,,,1283161.53299074,191901.669240549
32695364,System.Byte[],322556,324056,E951321,Matched,Intersection,36617.0,35TH AVE NE AND NE 120TH ST,,,2,Injury Collision,Left Turn,2,0,0,2,2,0,0,08/03/2019 12:00:00 AM,8/3/2019 2:32:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\18115500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E951321.pdf,,,,28.0,From opposite direction - one left turn - one straight,0,0,N,2019-286369,PTCR,Police Traffic Collision Report,8/21/2019 12:00:00 AM,10/2/2019 12:00:00 AM,,,1281483.09791702,264395.117250785
32666594,System.Byte[],240550,240990,E656788,Matched,Intersection,29745.0,BROADWAY AND E PIKE ST,,,1,Property Damage Only Collision,Right Turn,1,0,0,2,0,0,0,03/17/2017 12:00:00 AM,3/17/2017 11:08:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56115500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E656788.pdf,,,,16.0,From same direction - one right turn - one straight,0,0,N,2017-95384,PTCR,Police Traffic Collision Report,5/10/2017 12:00:00 AM,5/10/2017 12:00:00 AM,,,1273562.2121489,227541.548701048
32687247,System.Byte[],311325,312685,3812603,Matched,Block,,ELLIOTT AVE W BETWEEN 4TH AVE W AND W HARRISON ST,,,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,01/18/2019 12:00:00 AM,1/18/2019 6:51:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Dry,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44118600.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3812603.pdf,,,,30.0,From opposite direction - all others,0,0,N,19-24293,PTCR,Police Traffic Collision Report,1/30/2019 12:00:00 AM,4/2/2019 12:00:00 AM,,,1263365.53937048,230580.117152154
