symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
ARES,Ares Management Corporation Class A Common Stock,$147.43,3.12,2.162%,1424060.0,48190313477.0,United States,2014.0,Investment Managers,Finance,/market-activity/stocks/ares,,,,,,,,,,,,,,,,,,,,,,
GL,Globe Life Inc. Common Stock,$132.42,2.05,1.572%,561159.0,10541400036.0,United States,,Life Insurance,Finance,/market-activity/stocks/gl,,,,,,,,,,,,,,,,,,,,,,
AMAL,Amalgamated Financial Corp. Common Stock (DE),$28.81,1.0,3.596%,178579.0,862465379.0,United States,2018.0,Major Banks,Finance,/market-activity/stocks/amal,,,,,,,,,,,,,,,,,,,,,,
MRBK,Meridian Corporation Common Stock,$15.10,0.6,4.138%,94196.0,173913586.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mrbk,,,,,,,,,,,,,,,,,,,,,,
EBC,Eastern Bankshares Inc. Common Stock,$18.21,0.77,4.415%,1716595.0,3838630305.0,United States,2020.0,Savings Institutions,Finance,/market-activity/stocks/ebc,,,,,,,,,,,,,,,,,,,,,,
AGO,Assured Guaranty Ltd. Common Stock,$89.79,1.74,1.976%,351183.0,4140135640.0,Bermuda,2004.0,Property-Casualty Insurers,Finance,/market-activity/stocks/ago,,,,,,,,,,,,,,,,,,,,,,
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,$7.68,-1.43,-15.697%,743466.0,324168146.0,Cayman Islands,2018.0,Finance: Consumer Services,Finance,/market-activity/stocks/xyf,,,,,,,,,,,,,,,,,,,,,,
RM,Regional Management Corp. Common Stock,$36.51,-0.03,-0.082%,110227.0,354614511.0,United States,2012.0,Finance: Consumer Services,Finance,/market-activity/stocks/rm,,,,,,,,,,,,,,,,,,,,,,
FUFUW,BitFuFu Inc. Warrant,$0.24,-0.0074,-2.991%,22716.0,39145588.0,Singapore,,Finance: Consumer Services,Finance,/market-activity/stocks/fufuw,,,,,,,,,,,,,,,,,,,,,,
HAFC,Hanmi Financial Corporation Common Stock,$27.26,0.8,3.023%,202011.0,816581669.0,United States,,Major Banks,Finance,/market-activity/stocks/hafc,,,,,,,,,,,,,,,,,,,,,,
ARCC,Ares Capital Corporation Common Stock,$19.84,0.32,1.639%,5030782.0,14200015744.0,United States,2004.0,Finance: Consumer Services,Finance,/market-activity/stocks/arcc,,,,,,,,,,,,,,,,,,,,,,
VAC,Marriott Vacations Worldwide Corporation Common Stock,$50.79,3.98,8.502%,799240.0,1758044603.0,United States,,Real Estate,Finance,/market-activity/stocks/vac,,,,,,,,,,,,,,,,,,,,,,
DAVEW,Dave Inc. Warrants,$0.72,0.02,2.857%,118403.0,9722939.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/davew,,,,,,,,,,,,,,,,,,,,,,
MCB,Metropolitan Bank Holding Corp. Common Stock,$72.95,3.0,4.289%,67204.0,751239246.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mcb,,,,,,,,,,,,,,,,,,,,,,
PUK,Prudential Public Limited Company Common Stock,$27.74,0.45,1.649%,991493.0,35640750679.0,United Kingdom,,Life Insurance,Finance,/market-activity/stocks/puk,,,,,,,,,,,,,,,,,,,,,,
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.54,0.06,0.235%,13911.0,37272839934.0,United States,,Major Banks,Finance,/market-activity/stocks/hbanl,,,,,,,,,,,,,,,,,,,,,,
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$17.09,0.13,0.767%,26931.0,6197277280.0,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgln,,,,,,,,,,,,,,,,,,,,,,
ILLR,Triller Group Inc. Common Stock,$0.4831,0.0413,9.348%,348982.0,74957708.0,United States,2019.0,Investment Managers,Finance,/market-activity/stocks/illr,,,,,,,,,,,,,,,,,,,,,,
FBP,First BanCorp. New Common Stock,$20.16,0.42,2.128%,1295211.0,3184008368.0,Puerto Rico,,Major Banks,Finance,/market-activity/stocks/fbp,,,,,,,,,,,,,,,,,,,,,,
GLXY,Galaxy Digital Inc. Class A Common Stock,$23.42,-0.61,-2.538%,13251818.0,9148093929.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/glxy,,,,,,,,,,,,,,,,,,,,,,
MBI,MBIA Inc. Common Stock,$7.62,0.21,2.834%,271342.0,384761430.0,United States,1987.0,Property-Casualty Insurers,Finance,/market-activity/stocks/mbi,,,,,,,,,,,,,,,,,,,,,,
VEL,Velocity Financial Inc. Common Stock,$18.35,-0.08,-0.434%,56747.0,713815551.0,United States,2020.0,Finance: Consumer Services,Finance,/market-activity/stocks/vel,,,,,,,,,,,,,,,,,,,,,,
FFWM,First Foundation Inc. Common Stock,$5.32,0.33,6.613%,1002459.0,440945013.0,United States,,Major Banks,Finance,/market-activity/stocks/ffwm,,,,,,,,,,,,,,,,,,,,,,
C,Citigroup Inc. Common Stock,$98.70,1.07,1.096%,14357891.0,176600569893.0,United States,,Major Banks,Finance,/market-activity/stocks/c,,,,,,,,,,,,,,,,,,,,,,
BMO,Bank Of Montreal Common Stock,$121.17,1.25,1.042%,527766.0,86794891321.0,Canada,,Commercial Banks,Finance,/market-activity/stocks/bmo,,,,,,,,,,,,,,,,,,,,,,
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,$11.80,0.85,7.763%,902142.0,653984473.0,United States,2010.0,Finance: Consumer Services,Finance,/market-activity/stocks/gdot,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabelli Equity Trust Inc. (The) Common Stock,$6.01,0.1,1.692%,474122.0,1765841450.0,United States,1986.0,Investment Managers,Finance,/market-activity/stocks/gab,,,,,,,,,,,,,,,,,,,,,,
ONIT,Onity Group Inc. Common Stock,$43.50,0.94,2.209%,44157.0,350561019.0,United States,,Finance: Consumer Services,Finance,/market-activity/stocks/onit,,,,,,,,,,,,,,,,,,,,,,
MAIN,Main Street Capital Corporation Common Stock,$55.56,0.05,0.09%,791065.0,4977483889.0,United States,2007.0,Finance/Investors Services,Finance,/market-activity/stocks/main,,,,,,,,,,,,,,,,,,,,,,
TRV,The Travelers Companies Inc. Common Stock,$290.07,2.22,0.771%,1781335.0,64704005369.0,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/trv,,,,,,,,,,,,,,,,,,,,,,
WFC,Wells Fargo & Company Common Stock,$83.11,0.71,0.862%,16141382.0,260889316286.0,United States,,Major Banks,Finance,/market-activity/stocks/wfc,,,,,,,,,,,,,,,,,,,,,,
CHCO,City Holding Company Common Stock,$122.11,3.24,2.726%,105336.0,1759440374.0,United States,,Major Banks,Finance,/market-activity/stocks/chco,,,,,,,,,,,,,,,,,,,,,,
PRENW,Prenetics Global Limited Warrant,$0.0264,0.0062,30.693%,4582.0,344097.0,Hong Kong,,Blank Checks,Finance,/market-activity/stocks/prenw,,,,,,,,,,,,,,,,,,,,,,
NNI,Nelnet Inc. Common Stock,$127.77,3.03,2.429%,77230.0,4591175126.0,United States,2003.0,Finance: Consumer Services,Finance,/market-activity/stocks/nni,,,,,,,,,,,,,,,,,,,,,,
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,$13.05,0.31,2.433%,69376.0,746084382.0,United States,,Life Insurance,Finance,/market-activity/stocks/bhfan,,,,,,,,,,,,,,,,,,,,,,
CZWI,Citizens Community Bancorp Inc. Common Stock,$16.72,0.14,0.844%,24535.0,161510936.0,United States,2006.0,Savings Institutions,Finance,/market-activity/stocks/czwi,,,,,,,,,,,,,,,,,,,,,,
BLX,Banco Latinoamericano de Comercio Exterior S.A.,$44.58,0.68,1.549%,123715.0,1640134756.0,Panama,1992.0,Commercial Banks,Finance,/market-activity/stocks/blx,,,,,,,,,,,,,,,,,,,,,,
CRVL,CorVel Corp. Common Stock,$73.85,2.16,3.013%,201784.0,3784587184.0,United States,,Specialty Insurers,Finance,/market-activity/stocks/crvl,,,,,,,,,,,,,,,,,,,,,,
APLD,Applied Digital Corporation Common Stock,$21.09,-0.28,-1.31%,36748495.0,5898575104.0,United States,2022.0,Finance: Consumer Services,Finance,/market-activity/stocks/apld,,,,,,,,,,,,,,,,,,,,,,
EBMT,Eagle Bancorp Montana Inc. Common Stock,$16.35,0.25,1.553%,27447.0,130018094.0,United States,2010.0,Major Banks,Finance,/market-activity/stocks/ebmt,,,,,,,,,,,,,,,,,,,,,,
FIBK,First Interstate BancSystem Inc. Common Stock (DE),$31.42,0.82,2.68%,976713.0,3232823092.0,United States,2010.0,Major Banks,Finance,/market-activity/stocks/fibk,,,,,,,,,,,,,,,,,,,,,,
FITBI,Fifth Third Bancorp Depositary Shares,$25.59,0.07,0.274%,32885.0,16915291169.0,United States,,Major Banks,Finance,/market-activity/stocks/fitbi,,,,,,,,,,,,,,,,,,,,,,
VABK,Virginia National Bankshares Corporation Common Stock,$39.14,0.87,2.273%,18687.0,211087460.0,United States,,Major Banks,Finance,/market-activity/stocks/vabk,,,,,,,,,,,,,,,,,,,,,,
GOCO,GoHealth Inc. Class A Common Stock,$2.57,0.27,11.739%,23941.0,73794980.0,United States,2020.0,Specialty Insurers,Finance,/market-activity/stocks/goco,,,,,,,,,,,,,,,,,,,,,,
SCHW,Charles Schwab Corporation (The) Common Stock,$90.51,0.02,0.022%,8266318.0,160830547053.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/schw,,,,,,,,,,,,,,,,,,,,,,
BOC,Boston Omaha Corporation Class A Common Stock,$12.53,0.32,2.621%,201582.0,394111528.0,United States,2022.0,Real Estate,Finance,/market-activity/stocks/boc,,,,,,,,,,,,,,,,,,,,,,
CZNC,Citizens & Northern Corp Common Stock,$19.66,0.61,3.202%,57971.0,349984823.0,United States,,Major Banks,Finance,/market-activity/stocks/cznc,,,,,,,,,,,,,,,,,,,,,,
PWP,Perella Weinberg Partners Class A Common Stock,$17.81,0.89,5.26%,811545.0,1581686901.0,United States,2020.0,Finance: Consumer Services,Finance,/market-activity/stocks/pwp,,,,,,,,,,,,,,,,,,,,,,
OBDC,Blue Owl Capital Corporation Common Stock,$12.34,0.31,2.577%,12191750.0,6306335245.0,,2019.0,Diversified Financial Services,Finance,/market-activity/stocks/obdc,,,,,,,,,,,,,,,,,,,,,,
DGICB,Donegal Group Inc. Class B Common Stock,$16.19,0.0,0.00%,50.0,593226873.0,United States,1986.0,Property-Casualty Insurers,Finance,/market-activity/stocks/dgicb,,,,,,,,,,,,,,,,,,,,,,
WHG,Westwood Holdings Group Inc Common Stock,$16.59,0.95,6.074%,15247.0,156080877.0,United States,,Investment Managers,Finance,/market-activity/stocks/whg,,,,,,,,,,,,,,,,,,,,,,
FBNC,First Bancorp Common Stock,$50.40,1.39,2.836%,240379.0,2089852582.0,United States,1987.0,Major Banks,Finance,/market-activity/stocks/fbnc,,,,,,,,,,,,,,,,,,,,,,
LDI,loanDepot Inc. Class A Common Stock,$2.59,0.18,7.469%,2590366.0,863081043.0,United States,2021.0,Finance: Consumer Services,Finance,/market-activity/stocks/ldi,,,,,,,,,,,,,,,,,,,,,,
VGM,Invesco Trust for Investment Grade Municipals Common Stock (DE),$10.08,-0.06,-0.592%,150588.0,546658237.0,United States,,Trusts Except Educational Religious and Charitable,Finance,/market-activity/stocks/vgm,,,,,,,,,,,,,,,,,,,,,,
PFG,Principal Financial Group Inc Common Stock,$84.29,1.93,2.343%,1512929.0,18517994026.0,United States,2001.0,Accident &Health Insurance,Finance,/market-activity/stocks/pfg,,,,,,,,,,,,,,,,,,,,,,
PCAP,ProCap Acquisition Corp Class A Ordinary Shares,$10.16,0.0,0.00%,1502.0,0.0,United States,2025.0,Blank Checks,Finance,/market-activity/stocks/pcap,,,,,,,,,,,,,,,,,,,,,,
FXNC,First National Corporation Common Stock,$23.96,0.83,3.588%,34891.0,215899175.0,United States,,Major Banks,Finance,/market-activity/stocks/fxnc,,,,,,,,,,,,,,,,,,,,,,
MLCI,Mount Logan Capital Inc. Common Stock,$7.45,-0.21,-2.742%,23263.0,95261600.0,United States,,Investment Managers,Finance,/market-activity/stocks/mlci,,,,,,,,,,,,,,,,,,,,,,
RGA,Reinsurance Group of America Incorporated Common Stock,$187.16,2.35,1.272%,285729.0,12299000984.0,United States,,Life Insurance,Finance,/market-activity/stocks/rga,,,,,,,,,,,,,,,,,,,,,,
MS,Morgan Stanley Common Stock,$158.17,-0.53,-0.334%,9020267.0,251381053721.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/ms,,,,,,,,,,,,,,,,,,,,,,
JEF,Jefferies Financial Group Inc. Common Stock,$54.64,1.0,1.864%,1633440.0,11271155373.0,United States,,Investment Bankers/Brokers/Service,Finance,/market-activity/stocks/jef,,,,,,,,,,,,,,,,,,,,,,
RY,Royal Bank Of Canada Common Stock,$149.99,2.64,1.792%,1532435.0,210734473798.0,Canada,,Commercial Banks,Finance,/market-activity/stocks/ry,,,,,,,,,,,,,,,,,,,,,,
BAP,Credicorp Ltd. Common Stock,$247.85,-0.46,-0.185%,453337.0,23392657268.0,Peru,,Commercial Banks,Finance,/market-activity/stocks/bap,,,,,,,,,,,,,,,,,,,,,,
SYF,Synchrony Financial Common Stock,$74.62,2.37,3.28%,4040174.0,27762934232.0,United States,2014.0,Finance: Consumer Services,Finance,/market-activity/stocks/syf,,,,,,,,,,,,,,,,,,,,,,
