symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
ARES,Ares Management Corporation Class A Common Stock,$147.43,3.12,2.162%,1424060,48190313477.0,United States,2014.0,Investment Managers,Finance,/market-activity/stocks/ares,Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,Public,NYSE: CNCS&P 500 component,1984; 41 years ago (1984),"St. Louis, Missouri, U.S.",,,Sarah London (CEO)Susan Smith (COO),Health care providerPharmacy benefit manager,US$163 billion (2024),US$3.18 billion (2024),US$3.31 billion (2024),US$82.4 billion (2024),US$26.4 billion (2024),"60,500 (2024)",,www.centene.com,"Elizabeth ""Betty"" Brinn",,,
GL,Globe Life Inc. Common Stock,$132.42,2.05,1.572%,561159,10541400036.0,United States,,Life Insurance,Finance,/market-activity/stocks/gl,Fortis Inc.,https://en.wikipedia.org/wiki/Fortis_Inc.,Public,TSX: FTSNYSE: FTSS&P/TSX 60 component,1987; 38 years ago (1987),"St. John's, Newfoundland and Labrador, Canada",,,"David Hutchens, President & CEO",,CA$11.5 billion (2024),CA$3.29 billion (2024),CA$1.83 billion (2024),CA$73.5 billion (2024),CA$23.8 billion (2024),"9,800 (2024)",,www.fortisinc.com,Angus Bruneau,,"Electricity, Natural Gas",
AMAL,Amalgamated Financial Corp. Common Stock (DE),$28.81,1.0,3.596%,178579,862465379.0,United States,2018.0,Major Banks,Finance,/market-activity/stocks/amal,Vistra Corp.,https://en.wikipedia.org/wiki/Vistra_Corp.,Public,NYSE: VSTDJUA componentS&P 500 component,2016; 9 years ago (2016),"Irving, Texas, U.S.",,,Jim Burke (CEO),,US$17.2 billion (2024),US$4.1 billion (2024),,US$37.8 billion (2024),,"approx. 6,850 (December 2024)",TXU EnergyLuminantDynegyHomefield EnergyAmbit EnergyCrius EnergyEnergy Harbor,vistracorp.com,,Vistra Energy Corp.,,
MRBK,Meridian Corporation Common Stock,$15.10,0.6,4.138%,94196,173913586.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mrbk,Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation,Public company,NYSE: TGTS&P 100 componentS&P 500 component,"June 24, 1902; 123 years ago (1902-06-24) (corporation)May 1, 1962; 63 years ago (1962-05-01) (store)","Target PlazaMinneapolis, Minnesota, U.S.","1,989 stores (2025)","United States, Canada (formerly, see Target Canada)","Brian Cornell(Chairman and CEO)Michael Fiddelke(Incoming CEO, COO)",,US$106.6 billion (2024),US$5.566 billion (2024),US$4.091 billion (2024),US$57.77 billion (2024),US$14.67 billion (2024),"440,000 (2025)",Shipt,target.comcorporate.target.com,Schwanna Ferguson (corporation)Douglas Dayton and John Geisse (store),Goodfellow Dry Goods(1902–1903)Dayton's Dry Goods Company(1903–1910)Dayton Company(1910–1962)Dayton Corporation(1962–1969)Dayton-Hudson Corporation(1969–2000),,
EBC,Eastern Bankshares Inc. Common Stock,$18.21,0.77,4.415%,1716595,3838630305.0,United States,2020.0,Savings Institutions,Finance,/market-activity/stocks/ebc,Vistra Corp.,https://en.wikipedia.org/wiki/Vistra_Corp.,Public,NYSE: VSTDJUA componentS&P 500 component,2016; 9 years ago (2016),"Irving, Texas, U.S.",,,Jim Burke (CEO),,US$17.2 billion (2024),US$4.1 billion (2024),,US$37.8 billion (2024),,"approx. 6,850 (December 2024)",TXU EnergyLuminantDynegyHomefield EnergyAmbit EnergyCrius EnergyEnergy Harbor,vistracorp.com,,Vistra Energy Corp.,,
AGO,Assured Guaranty Ltd. Common Stock,$89.79,1.74,1.976%,351183,4140135640.0,Bermuda,2004.0,Property-Casualty Insurers,Finance,/market-activity/stocks/ago,Allot Ltd.,https://en.wikipedia.org/wiki/Allot_Ltd.,Public,Nasdaq: ALLTTASE: ALLT,1996; 29 years ago (1996),"Hod HaSharon , Israel",,,David Reis (chairman)Eyal Harari (CEO),,US$ 92 million (2024),,,,US$ 140 million (2024),500,,allot.com,,Allot Communications,Mass Market SECaaSNetwork Security SolutionsNetwork VisibilityTraffic ManagementPolicy & Charging ControlRegulatory ComplianceQoE & Application ControlWeb SecurityBehavior Anomaly Detection,
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,$7.68,-1.43,-15.697%,743466,324168146.0,Cayman Islands,2018.0,Finance: Consumer Services,Finance,/market-activity/stocks/xyf,180 Degree Capital,https://en.wikipedia.org/wiki/180_Degree_Capital,Public,Nasdaq: TURN,1981; 44 years ago (1981),"Montclair, New Jersey, USA",,,,,,,,,,,,180degreecapital.com,,Harris & Harris Group,Asset Management,
RM,Regional Management Corp. Common Stock,$36.51,-0.03,-0.082%,110227,354614511.0,United States,2012.0,Finance: Consumer Services,Finance,/market-activity/stocks/rm,StoneX Group Inc.,https://en.wikipedia.org/wiki/StoneX_Group_Inc.,Public,Nasdaq: SNEXS&P 600 Component,1924; 101 years ago (1924),New York,,,Sean O’Connor (CEO)Bill Dunaway (CFO)Stuart Davison (COO),,US$64.38 billion (2023)[citation needed],,US$234.8 million (2023),,,"4,000 (2024)",,www.stonex.com/en/,,INTL FCStone,,
FUFUW,BitFuFu Inc. Warrant,$0.24,-0.0074,-2.991%,22716,39145588.0,Singapore,,Finance: Consumer Services,Finance,/market-activity/stocks/fufuw,Organigram Inc.,https://en.wikipedia.org/wiki/Organigram_Inc.,,Nasdaq: OGI TSX: OGI,,"1400-145 King Street West, Toronto, Canada",,,,,"US$247,177,000 (2024)",,,,,875 (2024),,organigram.ca,,,,
HAFC,Hanmi Financial Corporation Common Stock,$27.26,0.8,3.023%,202011,816581669.0,United States,,Major Banks,Finance,/market-activity/stocks/hafc,UGI Corporation,https://en.wikipedia.org/wiki/UGI_Corporation,Public company,NYSE: UGIS&P 400 component,1882; 143 years ago (1882),"King of Prussia, Pennsylvania, U.S.",,United StatesEurope,"Mario Longhi, Chairperson Bob Flexon, CEOSean O'Brien, CFO",,$7.651 billion (2018),,$0.718 billion (2018),$11.980 billion (2018),$3.681 billion (2018),"7,700 (2018)",UGI UtiltiesUGI Energy ServicesMountaineer Gas Co.AmeriGasUGI International,www.ugicorp.com,,United Gas Improvement Co.,,
