Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
MG,2021,MG3,Hatchback,2021 MG MG3 Auto Core,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,26480,White / -,"Sandgate, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Audi,2014,A3,Convertible,2014 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,4.9 L / 100 km,85738,Black / Leather,"Phillip, ACT",4 cyl,Convertible, 2 Doors, 4 Seats,10000-20000 AUD
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLX,USED,Manual,"4 cyl, 2.4 L",Rear,Unleaded,10.9 L / 100 km,193000,Silver / -,"Archerfield, QLD",4 cyl,Ute / Tray, 2 Doors, 2 Seats,10000-20000 AUD
Mazda,2011,3,Sedan,2011 Mazda 3 SP25,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.6 L / 100 km,194101,White / -,"Gladstone, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2012,IX35,SUV,2012 Hyundai IX35 Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.5 L / 100 km,99581,Black / -,"Minchinbury, NSW",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2013,Barina,Sedan,2013 Holden Barina CDX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.3 L / 100 km,80423,Silver / Leather,"Epping, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2012,6,Wagon,2012 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.9 L / 100 km,241172,Red / Black Leather,"West Footscray, VIC",4 cyl,Wagon, 4 Doors, 5 Seats,10000-20000 AUD
Kia,2012,Grand,Wagon,2012 Kia Grand Carnival SI,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.9 L / 100 km,148482,Silver / -,"Kenwick, WA",6 cyl,Wagon, 4 Doors, 8 Seats,10000-20000 AUD
Nissan,2007,Elgrand,Melbourne's Cheapest Cars,2007 Nissan Elgrand E51 HIGHWAYSTAR 3.5L 6 SEATER,USED,Automatic,-,Other,-,-,93373,Silver / -,"Moorabbin, VIC",-,Wagon,,,10000-20000 AUD
Mazda,2009,BT-50,Ute / Tray,2009 Mazda BT-50 B3000 Freestyle DX+,USED,Manual,"4 cyl, 3 L",Rear,Diesel,8.3 L / 100 km,257000,White / -,"Archerfield, QLD",4 cyl,Ute / Tray, 2 Doors, 4 Seats,10000-20000 AUD
Mazda,2012,3,Sedan,2012 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,181070,White / -,"Slacks Creek, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Honda,2015,Jazz,Hatchback,2015 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,201156,Yellow / -,"Oak Flats, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,7.5 L / 100 km,217769,- / -,"Southport, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Mazda,2013,3,Sedan,2013 Mazda 3 NEO,USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.6 L / 100 km,162642,Red / -,"East Maitland, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
BMW,2012,118I,Hatchback,2012 BMW 118I Urban,USED,Automatic,"4 cyl, 1.6 L",Rear,Premium,5.8 L / 100 km,49427,White / -,"Rozelle, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Nissan,2011,Navara,Ute / Tray,2011 Nissan Navara ST-R (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.2 L / 100 km,211820,White / -,"Blair Athol, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,10000-20000 AUD
Hyundai,2016,Tucson,SUV,2016 Hyundai Tucson Active (fwd),USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,231209,- / -,"Traralgon, VIC",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Ford,2011,Territory,SUV,2011 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,12.8 L / 100 km,107752,Silver / Black,"Leichhardt, NSW",6 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
Toyota,2010,Corolla,Sedan,2010 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,99026,Silver / Grey,"Southport, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Holden,2018,Captiva,SUV,2018 Holden Captiva 7 LTZ (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.1 L / 100 km,114737,White / Black,"Nunawading, VIC",4 cyl,SUV, 4 Doors, 7 Seats,10000-20000 AUD
BMW,2012,125I,Hatchback,2012 BMW 125I,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4 L / 100 km,86372,Black / -,"Bentley, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,10000-20000 AUD
Volkswagen,2013,Transporter,Commercial,2013 Volkswagen Transporter TDI 250 SWB LOW,USED,Manual,"4 cyl, 2 L",Front,Diesel,7.5 L / 100 km,266900,White / -,"Pakenham, VIC",4 cyl,Commercial, 2 Doors, 2 Seats,10000-20000 AUD
Mitsubishi,2013,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,165306,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2017,Qashqai,SUV,2017 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,112491,White / Black,"Labrador, QLD",4 cyl,SUV, 4 Doors, 5 Seats,10000-20000 AUD
Nissan,2016,Navara,Ute / Tray,2016 Nissan Navara RX (4X4),USED,Manual,"4 cyl, 2.3 L",4WD,Diesel,6.6 L / 100 km,223020,Silver / -,"Five Dock, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,10000-20000 AUD
