Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,At Fault,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,First Harmful Event,Second Harmful Event,Junction,Intersection Type,Road Alignment,Road Condition,Road Division,Latitude,Longitude,Location
MCP93110036,210016681,Montgomery County Police,Property Damage Crash,05/04/2021 09:27:00 AM,No,County,South,,2.0,North,0.0,FEET,LEVEL,ROCKLEDGE DR,ROCK SPRING DR,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.02599833,-77.13274833,"(39.02599833, -77.13274833)"
MCP23720048,220017112,Montgomery County Police,Injury Crash,04/22/2022 01:30:00 PM,No,Maryland (State),North,,3.0,North,0.0,FEET,LEVEL,ROCKVILLE PIKE,POOKS HILL RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION RELATED,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.01407517,-77.09913883,"(39.01407517, -77.09913883)"
MCP23110050,180059403,Montgomery County Police,Property Damage Crash,11/28/2018 07:46:00 AM,No,County,West,,2.0,North,0.0,FEET,LEVEL,SAM EIG HWY,GREAT SENECA HWY,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,,,OTHER VEHICLE,,,,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.10938167,-77.21393,"(39.10938167, -77.21393)"
MCP3145002H,200014313,Montgomery County Police,Property Damage Crash,03/28/2020 04:20:00 PM,No,Maryland (State),North,,2.0,North,0.0,FEET,LEVEL,GEORGIA AVE,PRINCE PHILIP DR,,,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.14253167,-77.06728333,"(39.14253167, -77.06728333)"
MCP2586002V,170511939,Montgomery County Police,Injury Crash,06/05/2017 04:59:00 PM,No,County,South,RIGHT TURN LANE,4.0,North,0.0,FEET,LEVEL,OLD COLUMBIA PIKE,OLD COLUMBIA PIKE,,,,DRIVER,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,FOUR-WAY INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.11146833,-76.93238167,"(39.11146833, -76.93238167)"
MCP3022004K,220011181,Montgomery County Police,Injury Crash,03/15/2022 04:53:00 PM,No,Maryland (State),North,,2.0,North,0.0,FEET,LEVEL,WOODFIELD RD,HAWKINS CREAMERY RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,"N/A, NONE DETECTED",,OTHER VEHICLE,OTHER VEHICLE,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",39.27435483,-77.2043185,"(39.27435483, -77.2043185)"
DD5611006J,190042103,Rockville Police Departme,Property Damage Crash,09/03/2019 09:45:00 AM,No,Municipality,South,,1.0,North,0.0,FEET,LEVEL,FALLSMEAD WAY,FALLS RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,INTERSECTION,T-INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.07195,-77.16799,"(39.07195, -77.16799)"
MCP28440059,210034622,Montgomery County Police,Injury Crash,09/03/2021 04:30:00 PM,No,Maryland (State),South,,3.0,East,50.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,PARKLAND DR,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",39.0613794,-77.09257905,"(39.0613794, -77.09257905)"
MCP30570018,180036376,Montgomery County Police,Property Damage Crash,07/23/2018 08:25:00 AM,No,Interstate (State),South,,3.0,South,0.5,MILE,LEVEL,EISENHOWER MEMORIAL HWY,EXIT #15,,,,DRIVER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,OTHER VEHICLE,,,,STRAIGHT,NO DEFECTS,OTHER,39.18136446,-77.25172475,"(39.18136446, -77.25172475)"
MCP1099004V,220051772,Montgomery County Police,Property Damage Crash,11/23/2022 07:51:00 AM,Yes,Maryland (State),East,RIGHT TURN LANE,2.0,East,0.0,FEET,LEVEL,MUNCASTER MILL RD,REDLAND RD,,,,DRIVER,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,OTHER VEHICLE,,NON INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",39.14514167,-77.144815,"(39.14514167, -77.144815)"
